map
	ez_tower
end

value
	24.004,46.407,0.333,-85.485,31.500,-302.650,0.000,31.400,-6.950,20.083,0,0,0,1,0,1,
	24.008,46.407,0.333,-85.485,31.550,-303.150,0.000,31.400,-6.950,20.083,0,0,0,1,0,1,
	24.013,47.016,0.187,-85.054,31.650,-303.850,0.000,30.440,-7.270,21.554,0,0,0,1,0,1,
	24.018,47.016,0.187,-85.054,31.750,-304.550,0.000,30.440,-7.270,21.554,0,0,0,1,0,1,
	24.021,47.016,0.187,-85.054,31.850,-305.100,0.000,30.440,-7.270,21.554,0,0,0,1,0,1,
	24.026,47.016,0.187,-85.054,31.950,-305.650,0.000,30.440,-7.270,21.554,0,0,0,1,0,1,
	24.029,47.016,0.187,-85.054,32.000,-306.200,0.000,30.440,-7.270,21.554,0,0,0,1,0,1,
	24.035,47.601,0.035,-84.591,32.150,-307.200,0.000,29.267,-7.590,23.156,0,0,0,1,0,1,
	24.042,47.601,0.035,-84.591,32.300,-308.200,0.000,29.267,-7.590,23.156,0,0,0,1,0,1,
	24.046,47.601,0.035,-84.591,32.400,-308.800,0.000,29.267,-7.590,23.156,0,0,0,1,0,1,
	24.050,48.165,-0.123,-84.101,32.450,-309.350,0.000,28.207,-7.910,24.475,0,0,0,1,0,1,
	24.055,48.165,-0.123,-84.101,32.550,-310.050,0.000,28.207,-7.910,24.475,0,0,0,1,0,1,
	24.059,48.165,-0.123,-84.101,32.650,-310.700,0.000,28.207,-7.910,24.475,0,0,0,1,0,1,
	24.066,48.165,-0.123,-84.101,32.750,-311.250,0.000,28.207,-7.910,24.475,0,0,0,1,0,1,
	24.070,48.708,-0.287,-83.588,32.900,-312.350,0.000,27.154,-8.230,25.676,0,0,0,1,0,1,
	24.074,48.708,-0.287,-83.588,33.000,-312.900,0.000,27.154,-8.230,25.676,0,0,0,1,0,1,
	24.077,48.708,-0.287,-83.588,33.050,-313.300,0.000,27.154,-8.230,25.676,0,0,0,1,0,1,
	24.081,48.708,-0.287,-83.588,33.150,-313.700,0.000,27.154,-8.230,25.676,0,0,0,1,0,1,
	24.084,48.708,-0.287,-83.588,33.250,-314.250,0.000,27.154,-8.230,25.676,0,0,0,1,0,1,
	24.091,49.224,-0.458,-83.046,33.400,-315.350,0.000,25.789,-8.550,27.077,0,0,0,1,0,1,
	24.095,49.224,-0.458,-83.046,33.500,-315.900,0.000,25.789,-8.550,27.077,0,0,0,1,0,1,
	24.098,49.224,-0.458,-83.046,33.550,-316.300,0.000,25.789,-8.550,27.077,0,0,0,1,0,1,
	24.102,49.224,-0.458,-83.046,33.650,-316.900,0.000,25.789,-8.550,27.077,0,0,0,1,0,1,
	24.106,49.224,-0.458,-83.046,33.800,-317.600,0.000,25.789,-8.550,27.077,0,0,0,1,0,1,
	24.110,49.707,-0.636,-82.475,33.900,-318.200,0.000,24.174,-8.870,28.551,0,0,0,1,0,1,
	24.115,49.707,-0.636,-82.475,34.000,-318.900,0.000,24.174,-8.870,28.551,0,0,0,1,0,1,
	24.120,49.707,-0.636,-82.475,34.150,-319.650,0.000,24.174,-8.870,28.551,0,0,0,1,0,1,
	24.125,49.707,-0.636,-82.475,34.300,-320.550,0.000,24.174,-8.870,28.551,0,0,0,1,0,1,
	24.129,49.707,-0.636,-82.475,34.400,-321.150,0.000,24.174,-8.870,28.551,0,0,0,1,0,1,
	24.133,50.155,-0.820,-81.875,34.500,-321.750,0.000,22.370,-9.190,30.005,0,0,0,1,0,1,
	24.140,50.155,-0.820,-81.875,34.650,-322.850,0.000,22.370,-9.190,30.005,0,0,0,1,0,1,
	24.143,50.155,-0.820,-81.875,34.750,-323.500,0.000,22.370,-9.190,30.005,0,0,0,1,0,1,
	24.147,50.155,-0.820,-81.875,34.800,-324.100,0.000,22.370,-9.190,30.005,0,0,0,1,0,1,
	24.152,50.571,-1.010,-81.253,34.950,-324.900,0.000,20.809,-9.510,31.134,0,0,0,1,0,1,
	24.156,50.571,-1.010,-81.253,35.050,-325.550,0.000,20.809,-9.510,31.134,0,0,0,1,0,1,
	24.160,50.571,-1.010,-81.253,35.150,-326.350,0.000,20.809,-9.510,31.134,0,0,0,1,0,1,
	24.164,50.571,-1.010,-81.253,35.250,-327.000,0.000,20.809,-9.510,31.134,0,0,0,1,0,1,
	24.168,50.571,-1.010,-81.253,35.350,-327.650,0.000,20.809,-9.510,31.134,0,0,0,1,0,1,
	24.172,50.948,-1.206,-80.605,35.450,-328.300,0.000,18.849,-9.830,32.376,0,0,0,1,0,1,
	24.176,50.948,-1.206,-80.605,35.550,-328.950,0.000,18.849,-9.830,32.376,0,0,0,1,0,1,
	24.182,50.948,-1.206,-80.605,35.750,-330.100,0.000,18.849,-9.830,32.376,0,0,0,1,0,1,
	24.186,50.948,-1.206,-80.605,35.850,-330.750,0.000,18.849,-9.830,32.376,0,0,0,1,0,1,
	24.190,51.290,-1.409,-79.938,35.950,-331.400,0.000,17.081,-10.150,33.366,0,0,0,1,0,1,
	24.194,51.290,-1.409,-79.938,36.050,-332.050,0.000,17.081,-10.150,33.366,0,0,0,1,0,1,
	24.198,51.290,-1.409,-79.938,36.200,-332.850,0.000,17.081,-10.150,33.366,0,0,0,1,0,1,
	24.203,51.290,-1.409,-79.938,36.300,-333.700,0.000,17.081,-10.150,33.366,0,0,0,1,0,1,
	24.208,51.290,-1.409,-79.938,36.400,-334.400,0.000,17.081,-10.150,33.366,0,0,0,1,0,1,
	24.213,51.588,-1.619,-79.250,36.600,-335.450,0.000,14.928,-10.470,34.397,0,0,0,1,0,1,
	24.219,51.588,-1.619,-79.250,36.750,-336.700,0.000,14.928,-10.470,34.397,0,0,0,1,0,1,
	24.222,51.588,-1.619,-79.250,36.850,-337.250,0.000,14.928,-10.470,34.397,0,0,0,1,0,1,
	24.226,51.588,-1.619,-79.250,36.950,-337.950,0.000,14.928,-10.470,34.397,0,0,0,1,0,1,
	24.230,51.588,-1.619,-79.250,37.050,-338.700,0.000,14.928,-10.470,34.397,0,0,0,1,0,1,
	24.234,51.834,-1.835,-78.541,37.200,-339.600,0.000,12.307,-10.790,35.419,0,0,0,1,0,1,
	24.239,51.834,-1.835,-78.541,37.300,-340.400,0.000,12.307,-10.790,35.419,0,0,0,1,0,1,
	24.244,51.834,-1.835,-78.541,37.450,-341.550,0.000,12.307,-10.790,35.419,0,0,0,1,0,1,
	24.249,51.834,-1.835,-78.541,37.600,-342.300,0.000,12.307,-10.790,35.419,0,0,0,1,0,1,
	24.254,52.036,-2.057,-77.819,37.750,-343.650,0.000,10.063,-11.110,36.136,0,0,0,1,0,1,
