map
	ez_stream
	0.17207,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.17521,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.17832,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.18108,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.18421,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.18768,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.19023,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.19296,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.19779,0.00000,0.90000,-5.00000,0.15000,0.30000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.20227,0.00000,0.90000,-5.00000,0.20000,0.30000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.20831,0.00000,0.90000,-5.00000,0.30000,0.20000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.21473,0.00000,0.90000,-5.00000,0.40000,0.10000,0.00000,0.00000,0.00000,0.00000,1,0,0,0,0,0,
	0.22215,0.00000,0.90000,-5.00000,0.60000,359.95000,0.00000,0.00000,0.00000,0.00000,1,0,0,0,0,0,
	0.22628,0.00000,0.90000,-5.00000,0.70000,359.85000,0.00000,0.00000,0.00000,0.00000,1,0,0,0,0,0,
	0.23126,0.00000,0.90000,-5.00000,0.85000,359.70000,0.00000,0.00000,0.00000,0.00000,1,0,0,0,0,0,
	0.24104,-0.00014,0.90000,-4.97400,1.15000,359.40000,0.00000,-0.00681,0.00000,1.29998,1,0,0,0,0,0,
	0.25386,-0.00045,0.90000,-4.94000,1.75000,358.90000,0.00000,-0.01571,0.00000,1.69992,1,0,0,0,0,0,
	0.26033,-0.00045,0.90000,-4.94000,2.00000,358.65000,0.00000,-0.01571,0.00000,1.69992,1,0,0,0,0,0,
	0.26986,-0.00045,0.90000,-4.94000,2.55000,358.20000,0.00000,-0.01571,0.00000,1.69992,1,0,0,0,0,0,
	0.27573,-0.00141,0.90000,-4.89802,2.90000,357.90000,0.00000,-0.04823,0.00000,2.09932,1,0,0,0,0,0,
	0.28887,-0.00141,0.90000,-4.89802,3.65000,357.25000,0.00000,-0.04823,0.00000,2.09932,1,0,0,0,0,0,
	0.29293,-0.00321,0.90000,-4.84805,3.90000,357.05000,0.00000,-0.08993,0.00000,2.49806,1,0,0,0,0,0,
	0.29713,-0.00321,0.90000,-4.84805,4.15000,356.90000,0.00000,-0.08993,0.00000,2.49806,1,0,0,0,0,0,
	0.30229,-0.00321,0.90000,-4.84805,4.50000,356.60000,0.00000,-0.08993,0.00000,2.49806,1,0,0,0,0,0,
	0.30769,-0.00321,0.90000,-4.84805,4.90000,356.35000,0.00000,-0.08993,0.00000,2.49806,1,0,0,0,0,0,
	0.31412,-0.00602,0.90000,-4.79013,5.25000,356.05000,0.00000,-0.14031,0.00000,2.89601,1,0,0,0,0,0,
	0.32049,-0.00602,0.90000,-4.79013,5.80000,355.70000,0.00000,-0.14031,0.00000,2.89601,1,0,0,0,0,0,
	0.33322,-0.00990,0.90000,-4.72427,6.60000,355.15000,0.00000,-0.19423,0.00000,3.29340,1,0,0,0,0,0,
	0.34024,-0.00990,0.90000,-4.72427,7.25000,354.75000,0.00000,-0.19423,0.00000,3.29340,1,0,0,0,0,0,
	0.34409,-0.00990,0.90000,-4.72427,7.45000,354.60000,0.00000,-0.19423,0.00000,3.29340,1,0,0,0,0,0,
	0.35416,-0.01518,0.90000,-4.65048,8.15000,354.20000,0.00000,-0.26358,0.00000,3.68919,1,0,0,0,0,0,
	0.36209,-0.01518,0.90000,-4.65048,8.70000,353.85000,0.00000,-0.26358,0.00000,3.68919,1,0,0,0,0,0,
	0.36984,-0.01518,0.90000,-4.65048,9.25000,353.55000,0.00000,-0.26358,0.00000,3.68919,1,0,0,0,0,0,
	0.37769,-0.02209,0.90000,-4.56882,9.85000,353.20000,0.00000,-0.34548,0.00000,4.08325,1,0,0,0,0,0,
	0.38711,-0.02209,0.90000,-4.56882,10.45000,352.90000,0.00000,-0.34548,0.00000,4.08325,1,0,0,0,0,0,
	0.39606,-0.03069,0.90000,-4.47929,11.10000,352.60000,0.00000,-0.43029,0.00000,4.47649,1,0,0,0,0,0,
	0.40040,-0.03069,0.90000,-4.47929,11.35000,352.50000,0.00000,-0.43029,0.00000,4.47649,1,0,0,0,0,0,
	0.40806,-0.03069,0.90000,-4.47929,11.85000,352.25000,0.00000,-0.43029,0.00000,4.47649,1,0,0,0,0,0,
	0.41469,-0.04108,0.90000,-4.38191,12.35000,352.05000,0.00000,-0.51948,0.00000,4.86874,1,0,0,0,0,0,
	0.42637,-0.04108,0.90000,-4.38191,13.05000,351.80000,0.00000,-0.51948,0.00000,4.86874,1,0,0,0,0,0,
	0.42992,-0.04108,0.90000,-4.38191,13.30000,351.70000,0.00000,-0.51948,0.00000,4.86874,1,0,0,0,0,0,
	0.43814,-0.05331,0.90000,-4.27671,13.75000,351.55000,0.00000,-0.61166,0.00000,5.26021,1,0,0,0,0,0,
	0.44298,-0.05331,0.90000,-4.27671,14.05000,351.45000,0.00000,-0.61166,0.00000,5.26021,1,0,0,0,0,0,
	0.44779,-0.05331,0.90000,-4.27671,14.40000,351.35000,0.00000,-0.61166,0.00000,5.26021,1,0,0,0,0,0,
	0.45592,-0.06738,0.90000,-4.16368,14.85000,351.25000,0.00000,-0.70322,0.00000,5.65144,1,0,0,0,0,0,
	0.46040,-0.06738,0.90000,-4.16368,15.10000,351.15000,0.00000,-0.70322,0.00000,5.65144,1,0,0,0,0,0,
	0.46417,-0.06738,0.90000,-4.16368,15.35000,351.10000,0.00000,-0.70322,0.00000,5.65144,1,0,0,0,0,0,
	0.47071,-0.06738,0.90000,-4.16368,15.70000,351.00000,0.00000,-0.70322,0.00000,5.65144,1,0,0,0,0,0,
	0.47507,-0.08329,0.90000,-4.04283,15.95001,350.90000,0.00000,-0.79546,0.00000,6.04233,1,0,0,0,0,0,
	0.48097,-0.08329,0.90000,-4.04283,16.25000,350.85000,0.00000,-0.79546,0.00000,6.04233,1,0,0,0,0,0,
	0.49381,-0.10098,0.90000,-3.91416,17.00000,350.65000,0.00000,-0.88471,0.00000,6.43348,1,0,0,0,0,0,
	0.49991,-0.10098,0.90000,-3.91416,17.35000,350.55000,0.00000,-0.88471,0.00000,6.43348,1,0,0,0,0,0,
	0.50685,-0.10098,0.90000,-3.91416,17.70000,350.45000,0.00000,-0.88471,0.00000,6.43348,1,0,0,0,0,0,
	0.51028,-0.10098,0.90000,-3.91416,17.85000,350.45000,0.00000,-0.88471,0.00000,6.43348,1,0,0,0,0,0,
	0.51426,-0.12054,0.90000,-3.77769,18.05000,350.35000,0.00000,-0.97778,0.00000,6.82386,1,0,0,0,0,0,
	0.52256,-0.12054,0.90000,-3.77769,18.55000,350.25000,0.00000,-0.97778,0.00000,6.82386,1,0,0,0,0,0,
	0.52632,-0.12054,0.90000,-3.77769,18.65001,350.20000,0.00000,-0.97778,0.00000,6.82386,1,0,0,0,0,0,
	0.53771,-0.14197,0.90000,-3.63341,19.25000,350.05000,0.00000,-1.07140,0.00000,7.21399,1,0,0,0,0,0,
	0.54219,-0.14197,0.90000,-3.63341,19.45000,350.00000,0.00000,-1.07140,0.00000,7.21399,1,0,0,0,0,0,
	0.54670,-0.14197,0.90000,-3.63341,19.65001,349.95000,0.00000,-1.07140,0.00000,7.21399,1,0,0,0,0,0,
	0.55010,-0.14197,0.90000,-3.63341,19.80000,349.95000,0.00000,-1.07140,0.00000,7.21399,1,0,0,0,0,0,
	0.55615,-0.16529,0.90000,-3.48133,20.10001,349.85000,0.00000,-1.16604,0.00000,7.60380,1,0,0,0,0,0,
	0.56084,-0.16529,0.90000,-3.48133,20.30000,349.80000,0.00000,-1.16604,0.00000,7.60380,1,0,0,0,0,0,
	0.56584,-0.16529,0.90000,-3.48133,20.50000,349.75000,0.00000,-1.16604,0.00000,7.60380,1,0,0,0,0,0,
	0.57014,-0.16529,0.90000,-3.48133,20.65000,349.75000,0.00000,-1.16604,0.00000,7.60380,1,0,0,0,0,0,
	0.57455,-0.18912,0.90000,-3.32914,20.85001,349.70000,0.00000,-1.19151,0.00000,7.60942,1,0,0,0,0,0,
	0.57881,-0.18912,0.90000,-3.32914,21.00001,349.65000,0.00000,-1.19151,0.00000,7.60942,1,0,0,0,0,0,
	0.58232,-0.18912,0.90000,-3.32914,21.15000,349.65000,0.00000,-1.19151,0.00000,7.60942,1,0,0,0,0,0,
	0.58790,-0.18912,0.90000,-3.32914,21.35001,349.60000,0.00000,-1.19151,0.00000,7.60942,1,0,0,0,0,0,
	0.59254,-0.18912,0.90000,-3.32914,21.55001,349.55000,0.00000,-1.19151,0.00000,7.60942,1,0,0,0,0,0,
	0.59679,-0.21343,0.90000,-3.17703,21.70000,349.50000,0.00000,-1.21558,0.00000,7.60567,1,0,0,0,0,0,
	0.60164,-0.21343,0.90000,-3.17703,21.85000,349.50000,0.00000,-1.21558,0.00000,7.60567,1,0,0,0,0,0,
	0.61087,-0.21343,0.90000,-3.17703,22.20000,349.45000,0.00000,-1.21558,0.00000,7.60567,1,0,0,0,0,0,
	0.61432,-0.23819,0.90000,-3.02499,22.25001,349.45000,0.00000,-1.23833,0.00000,7.60177,1,0,0,0,0,0,
	0.61895,-0.23819,0.90000,-3.02499,22.40001,349.40000,0.00000,-1.23833,0.00000,7.60177,1,0,0,0,0,0,
	0.62467,-0.23819,0.90000,-3.02499,22.55000,349.40000,0.00000,-1.23833,0.00000,7.60177,1,0,0,0,0,0,
	0.62844,-0.23819,0.90000,-3.02499,22.70000,349.35000,0.00000,-1.23833,0.00000,7.60177,1,0,0,0,0,0,
	0.63252,-0.23819,0.90000,-3.02499,22.80000,349.35000,0.00000,-1.23833,0.00000,7.60177,1,0,0,0,0,0,
	0.63933,-0.26339,0.90000,-2.87303,22.95000,349.35000,0.00000,-1.25997,0.00000,7.59803,1,0,0,0,0,0,
	0.64330,-0.26339,0.90000,-2.87303,23.05000,349.35000,0.00000,-1.25997,0.00000,7.59803,1,0,0,0,0,0,
	0.64722,-0.26339,0.90000,-2.87303,23.15000,349.30000,0.00000,-1.25997,0.00000,7.59803,1,0,0,0,0,0,
	0.65422,-0.28899,0.90000,-2.72115,23.30000,349.30000,0.00000,-1.27982,0.00000,7.59443,1,0,0,0,0,0,
	0.65787,-0.28899,0.90000,-2.72115,23.35000,349.30000,0.00000,-1.27982,0.00000,7.59443,1,0,0,0,0,0,
	0.66152,-0.28899,0.90000,-2.72115,23.45000,349.30000,0.00000,-1.27982,0.00000,7.59443,1,0,0,0,0,0,
	0.66491,-0.28899,0.90000,-2.72115,23.50000,349.30000,0.00000,-1.27982,0.00000,7.59443,1,0,0,0,0,0,
	0.66996,-0.28899,0.90000,-2.72115,23.55000,349.30000,0.00000,-1.27982,0.00000,7.59443,1,0,0,0,0,0,
	0.67656,-0.31494,0.90000,-2.56932,23.65000,349.30000,0.00000,-1.29733,0.00000,7.59112,1,0,0,0,0,0,
	0.68134,-0.31494,0.90000,-2.56932,23.70000,349.30000,0.00000,-1.29733,0.00000,7.59112,1,0,0,0,0,0,
	0.68741,-0.31494,0.90000,-2.56932,23.75000,349.30000,0.00000,-1.29733,0.00000,7.59112,1,0,0,0,0,0,
	0.69036,-0.31494,0.90000,-2.56932,23.75000,349.30000,0.00000,-1.29733,0.00000,7.59112,1,0,0,0,0,0,
	0.69484,-0.34119,0.90000,-2.41756,23.80000,349.30000,0.00000,-1.31279,0.00000,7.58820,1,0,0,0,0,0,
	0.69819,-0.34119,0.90000,-2.41756,23.80000,349.30000,0.00000,-1.31279,0.00000,7.58820,1,0,0,0,0,0,
	0.70167,-0.34119,0.90000,-2.41756,23.80000,349.30000,0.00000,-1.31279,0.00000,7.58820,1,0,0,0,0,0,
	0.70505,-0.34119,0.90000,-2.41756,23.80000,349.30000,0.00000,-1.31279,0.00000,7.58820,1,0,0,0,0,0,
	0.70771,-0.34119,0.90000,-2.41756,23.80000,349.30000,0.00000,-1.31279,0.00000,7.58820,1,0,0,0,0,0,
	0.71047,-0.34119,0.90000,-2.41756,23.80000,349.30000,0.00000,-1.31279,0.00000,7.58820,1,0,0,0,0,0,
	0.71319,-0.36772,0.90000,-2.26585,23.80000,349.30000,0.00000,-1.32644,0.00000,7.58562,1,0,0,0,0,0,
	0.71863,-0.36772,0.90000,-2.26585,23.80000,349.30000,0.00000,-1.32644,0.00000,7.58562,1,0,0,0,0,0,
	0.72278,-0.36772,0.90000,-2.26585,23.85000,349.30000,0.00000,-1.32644,0.00000,7.58562,1,0,0,0,0,0,
	0.72552,-0.36772,0.90000,-2.26585,23.85000,349.30000,0.00000,-1.32644,0.00000,7.58562,1,0,0,0,0,0,
	0.72820,-0.36772,0.90000,-2.26585,23.85000,349.30000,0.00000,-1.32644,0.00000,7.58562,1,0,0,0,0,0,
	0.73620,-0.39449,1.01060,-2.11418,23.90000,349.25000,0.00000,-1.33850,5.53000,7.58334,1,0,0,0,0,1,
	0.74185,-0.39449,1.01060,-2.11418,23.95000,349.20000,0.00000,-1.33850,5.53000,7.58334,1,0,0,0,0,1,
	0.75018,-0.39449,1.01060,-2.11418,24.10000,349.15000,0.00000,-1.33850,5.53000,7.58334,1,0,0,0,0,1,
	0.75579,-0.42126,1.11480,-1.96251,24.30000,349.05000,0.00000,-1.33850,5.21000,7.58334,1,0,0,0,0,1,
	0.76407,-0.42126,1.11480,-1.96251,24.50000,348.90000,0.00000,-1.33850,5.21000,7.58334,1,0,0,0,0,1,
	0.76972,-0.42126,1.11480,-1.96251,24.70000,348.75000,0.00000,-1.33850,5.21000,7.58334,1,0,0,0,0,1,
	0.77326,-0.44803,1.21260,-1.81085,24.80000,348.70000,0.00000,-1.33850,4.89000,7.58334,1,0,0,0,0,1,
	0.78056,-0.44803,1.21260,-1.81085,24.95000,348.60000,0.00000,-1.33850,4.89000,7.58334,1,0,0,0,0,1,
	0.78570,-0.44803,1.21260,-1.81085,25.05000,348.55000,0.00000,-1.33850,4.89000,7.58334,0,0,0,0,0,1,
	0.79737,-0.47480,1.30400,-1.65918,25.25000,348.45000,0.00000,-1.33850,4.57000,7.58334,0,0,0,1,0,1,
	0.80448,-0.47480,1.30400,-1.65918,25.30000,348.45000,0.00000,-1.33850,4.57000,7.58334,0,0,0,1,0,1,
	0.81229,-0.47480,1.30400,-1.65918,25.40000,348.65000,0.00000,-1.33850,4.57000,7.58334,0,0,0,1,0,0,
	0.81595,-0.53256,1.38900,-1.51373,25.45000,348.70000,0.00000,-2.88769,4.25000,7.27237,0,0,0,1,0,0,
	0.82092,-0.53256,1.38900,-1.51373,25.45000,348.80000,0.00000,-2.88769,4.25000,7.27237,0,0,0,1,0,0,
	0.82640,-0.53256,1.38900,-1.51373,25.50000,348.85000,0.00000,-2.88769,4.25000,7.27237,0,0,0,1,0,0,
	0.82927,-0.53256,1.38900,-1.51373,25.50000,348.85000,0.00000,-2.88769,4.25000,7.27237,0,0,0,1,0,0,
	0.83193,-0.53256,1.38900,-1.51373,25.50000,348.85000,0.00000,-2.88769,4.25000,7.27237,0,0,0,1,0,0,
	0.83586,-0.59031,1.46760,-1.36828,25.50000,348.85000,0.00000,-2.88769,3.93000,7.27237,0,0,0,1,0,0,
	0.84368,-0.59031,1.46760,-1.36828,25.65000,348.85000,0.00000,-2.88769,3.93000,7.27237,0,0,0,1,0,0,
	0.84812,-0.59031,1.46760,-1.36828,25.75000,348.85000,0.00000,-2.88769,3.93000,7.27237,0,0,0,1,0,0,
	0.85325,-0.64806,1.53980,-1.22284,25.85000,348.80000,0.00000,-2.88769,3.61000,7.27237,0,0,0,1,0,0,
	0.85756,-0.64806,1.53980,-1.22284,25.90000,348.70000,0.00000,-2.88769,3.61000,7.27237,0,0,0,1,0,0,
	0.86145,-0.64806,1.53980,-1.22284,26.00000,348.60000,0.00000,-2.88769,3.61000,7.27237,0,0,0,1,0,0,
	0.86587,-0.64806,1.53980,-1.22284,26.05000,348.50000,0.00000,-2.88769,3.61000,7.27237,0,0,0,1,0,0,
	0.87061,-0.64806,1.53980,-1.22284,26.10000,348.40000,0.00000,-2.88769,3.61000,7.27237,0,0,0,1,0,0,
	0.87446,-0.70648,1.60560,-1.07752,26.15000,348.30000,0.00000,-2.92061,3.29000,7.26562,0,0,0,1,0,0,
	0.87969,-0.70648,1.60560,-1.07752,26.20000,348.15000,0.00000,-2.92061,3.29000,7.26562,0,0,0,1,0,0,
	0.88230,-0.70648,1.60560,-1.07752,26.20000,348.15000,0.00000,-2.92061,3.29000,7.26562,0,0,0,1,0,0,
	0.88978,-0.70648,1.60560,-1.07752,26.24999,348.05000,0.00000,-2.92061,3.29000,7.26562,0,0,0,1,0,0,
	0.89346,-0.76581,1.66500,-0.93241,26.24999,348.00000,0.00000,-2.96668,2.97000,7.25587,0,0,0,1,0,0,
	0.89749,-0.76581,1.66500,-0.93241,26.25000,347.95000,0.00000,-2.96668,2.97000,7.25587,0,0,0,1,0,0,
	0.90046,-0.76581,1.66500,-0.93241,26.25000,347.95000,0.00000,-2.96668,2.97000,7.25587,0,0,0,1,0,0,
	0.90546,-0.76581,1.66500,-0.93241,26.30000,347.90000,0.00000,-2.96668,2.97000,7.25587,0,0,0,1,0,0,
	0.90819,-0.76581,1.66500,-0.93241,26.30000,347.90000,0.00000,-2.96668,2.97000,7.25587,0,0,0,1,0,0,
	0.91085,-0.76581,1.66500,-0.93241,26.30000,347.90000,0.00000,-2.96668,2.97000,7.25587,0,0,0,1,0,0,
	0.91339,-0.82554,1.71800,-0.78737,26.30000,347.90000,0.00000,-2.98643,2.65000,7.25163,0,0,0,1,0,0,
	0.91926,-0.82554,1.71800,-0.78737,26.30000,347.85000,0.00000,-2.98643,2.65000,7.25163,0,0,0,1,0,0,
	0.92210,-0.82554,1.71800,-0.78737,26.30000,347.85000,0.00000,-2.98643,2.65000,7.25163,0,0,0,1,0,0,
	0.92629,-0.82554,1.71800,-0.78737,26.35000,347.80000,0.00000,-2.98643,2.65000,7.25163,0,0,0,1,0,0,
	0.93076,-0.82554,1.71800,-0.78737,26.34999,347.75000,0.00000,-2.98643,2.65000,7.25163,0,0,0,1,0,0,
	0.93576,-0.88566,1.76460,-0.64243,26.39999,347.70000,0.00000,-3.00617,2.33000,7.24734,0,0,0,1,0,0,
	0.94070,-0.88566,1.76460,-0.64243,26.44999,347.65000,0.00000,-3.00617,2.33000,7.24734,0,0,0,1,0,0,
	0.94503,-0.88566,1.76460,-0.64243,26.44999,347.60000,0.00000,-3.00617,2.33000,7.24734,0,0,0,1,0,0,
	0.95276,-0.94618,1.80480,-0.49757,26.54999,347.45000,0.00000,-3.02592,2.01000,7.24300,0,0,0,1,0,0,
	0.95917,-0.94618,1.80480,-0.49757,26.64999,347.30000,0.00000,-3.02592,2.01000,7.24300,0,0,0,1,0,0,
	0.96301,-0.94618,1.80480,-0.49757,26.69999,347.25000,0.00000,-3.02592,2.01000,7.24300,0,0,0,1,0,0,
	0.96777,-0.94618,1.80480,-0.49757,26.74999,347.15000,0.00000,-3.02592,2.01000,7.24300,0,0,0,1,0,0,
	0.97421,-1.00788,1.83860,-0.35298,26.84999,346.95000,0.00000,-3.08510,1.69000,7.22950,0,0,0,1,0,0,
	0.97880,-1.00788,1.83860,-0.35298,26.94999,346.80000,0.00000,-3.08510,1.69000,7.22950,0,0,0,1,0,0,
	0.98323,-1.00788,1.83860,-0.35298,26.99999,346.65000,0.00000,-3.08510,1.69000,7.22950,0,0,0,1,0,0,
	0.98880,-1.00788,1.83860,-0.35298,27.10000,346.45000,0.00000,-3.08510,1.69000,7.22950,0,0,0,1,0,0,
	0.99597,-1.07142,1.86600,-0.20883,27.20000,346.20000,0.00000,-3.17707,1.37000,7.20734,0,0,0,1,0,0,
	1.00027,-1.07142,1.86600,-0.20883,27.29999,346.10000,0.00000,-3.17707,1.37000,7.20734,0,0,0,1,0,0,
	1.00721,-1.07142,1.86600,-0.20883,27.45000,345.80000,0.00000,-3.17707,1.37000,7.20734,0,0,0,1,0,0,
	1.01601,-1.13667,1.88700,-0.06512,27.59999,345.50000,0.00000,-3.26240,1.05000,7.18575,0,0,0,1,0,0,
	1.02195,-1.13667,1.88700,-0.06512,27.74999,345.30000,0.00000,-3.26240,1.05000,7.18575,0,0,0,1,0,0,
	1.02663,-1.13667,1.88700,-0.06512,27.84999,345.10000,0.00000,-3.26240,1.05000,7.18575,0,0,0,1,0,0,
	1.03265,-1.20376,1.90160,0.07811,27.94999,344.95000,0.00000,-3.35419,0.73000,7.16132,0,0,0,1,0,0,
