map
	ez_square
end

value
	0.00417,56.00000,1.90000,0.00000,1.15000,1.40000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.01197,56.00000,1.90000,0.00000,1.15000,1.40000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.01549,56.00000,1.90000,0.00000,1.15000,1.40000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.01871,56.00000,1.90000,0.00000,1.15000,1.40000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.02234,56.00000,1.90000,0.00000,1.15000,1.40000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.02686,56.00000,1.90000,0.00000,1.15000,1.40000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.03058,56.00000,1.90000,0.00000,1.15000,1.40000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.03412,56.00000,1.90000,0.00000,1.15000,1.40000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.03764,56.00000,1.90000,0.00000,1.15000,1.40000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.04194,56.00000,1.90000,0.00000,1.15000,1.40000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.04606,56.00000,1.90000,0.00000,1.15000,1.40000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.05078,56.00000,1.90000,0.00000,1.15000,1.40000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.05800,56.00000,1.90000,0.00000,1.25000,1.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.06230,56.00000,1.90000,0.00000,1.30000,1.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.06726,56.00000,1.90000,0.00000,1.35000,1.40000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.07151,56.00000,1.90000,0.00000,1.45000,1.40000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.07773,56.00000,1.90000,0.00000,1.65000,1.40000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.08239,56.00000,1.90000,0.00000,1.85000,1.40000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.09001,56.00000,1.90000,0.00000,2.15000,1.30000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.09772,56.00000,1.90000,0.00000,2.45000,1.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.10351,56.00000,1.90000,0.00000,2.70000,0.85000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.10763,56.00000,1.90000,0.00000,2.85000,0.70000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.11341,56.00000,1.90000,0.00000,3.05000,0.40000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.11847,56.00000,1.90000,0.00000,3.25000,0.20000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.12422,56.00000,1.90000,0.00000,3.40000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.13030,56.00000,1.90000,0.00000,3.65000,359.80000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.13492,56.00000,1.90000,0.00000,3.75000,359.70000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.13960,56.00000,1.90000,0.00000,3.90000,359.55000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.14537,56.00000,1.90000,0.00000,4.10000,359.45000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.15128,56.00000,1.90000,0.00000,4.25000,359.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.15607,56.00000,1.90000,0.00000,4.50000,359.25000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.16090,56.00000,1.90000,0.00000,4.65000,359.20000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.16700,56.00000,1.90000,0.00000,4.90000,359.15000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.17157,56.00000,1.90000,0.00000,5.10000,359.05000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.17687,56.00000,1.90000,0.00000,5.40000,358.95000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.18354,56.00000,1.90000,0.00000,5.70000,358.85000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.18790,56.00000,1.90000,0.00000,5.90000,358.80000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.19649,56.00000,1.90000,0.00000,6.45000,358.65000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.20263,56.00000,1.90000,0.00000,6.75000,358.50000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.21095,56.00000,1.90000,0.00000,7.30000,358.30000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.22055,56.00000,1.90000,0.00000,7.90000,358.05000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.23277,56.00000,1.90000,0.00000,8.70000,357.75000,0.00000,0.00000,0.00000,0.00000,1,0,0,0,0,0,
	0.24534,56.00000,1.90000,0.00000,9.60000,357.35000,0.00000,0.00000,0.00000,0.00000,1,0,0,0,0,0,
	0.25014,55.99880,1.90000,0.02597,9.90000,357.25000,0.00000,-0.06011,0.00000,1.29861,1,0,0,0,0,0,
	0.25983,55.99880,1.90000,0.02597,10.60000,357.00000,0.00000,-0.06011,0.00000,1.29861,1,0,0,0,0,0,
	0.26363,55.99880,1.90000,0.02597,11.00000,356.90000,0.00000,-0.06011,0.00000,1.29861,1,0,0,0,0,0,
	0.26832,55.99702,1.90000,0.05993,11.35000,356.75000,0.00000,-0.08880,0.00000,1.69767,1,0,0,0,0,0,
	0.27890,55.99702,1.90000,0.05993,12.10000,356.55000,0.00000,-0.08880,0.00000,1.69767,1,0,0,0,0,0,
	0.28395,55.99702,1.90000,0.05993,12.50000,356.40000,0.00000,-0.08880,0.00000,1.69767,1,0,0,0,0,0,
	0.28941,55.99455,1.90000,0.10185,12.90000,356.30000,0.00000,-0.12341,0.00000,2.09633,1,0,0,0,0,0,
	0.29678,55.99455,1.90000,0.10185,13.45000,356.15000,0.00000,-0.12341,0.00000,2.09633,1,0,0,0,0,0,
	0.30100,55.99455,1.90000,0.10185,13.80000,356.00000,0.00000,-0.12341,0.00000,2.09633,1,0,0,0,0,0,
