map
	ez_tower
end

value
	42.002,67.076,-58.175,3.672,29.600,-375.750,0.000,-10.871,-13.670,39.853,0,0,1,0,0,1,
	42.005,67.076,-58.175,3.672,29.600,-375.350,0.000,-10.871,-13.670,39.853,0,0,1,0,0,1,
	42.009,66.885,-58.455,4.476,29.600,-375.000,0.000,-9.585,-13.990,40.206,0,0,1,0,0,1,
	42.013,66.885,-58.455,4.476,29.600,-374.600,0.000,-9.585,-13.990,40.206,0,0,1,0,0,1,
	42.018,66.885,-58.455,4.476,29.600,-374.150,0.000,-9.585,-13.990,40.206,0,0,1,0,0,1,
	42.022,66.885,-58.455,4.476,29.600,-373.800,0.000,-9.585,-13.990,40.206,0,0,1,0,0,1,
	42.026,66.885,-58.455,4.476,29.600,-373.350,0.000,-9.585,-13.990,40.206,0,0,1,0,0,1,
	42.030,66.721,-58.741,5.287,29.600,-373.000,0.000,-8.181,-14.310,40.539,0,0,1,0,0,1,
	42.034,66.721,-58.741,5.287,29.600,-372.650,0.000,-8.181,-14.310,40.539,0,0,1,0,0,1,
	42.038,66.721,-58.741,5.287,29.600,-372.300,0.000,-8.181,-14.310,40.539,0,0,1,0,0,1,
	42.043,66.721,-58.741,5.287,29.600,-371.850,0.000,-8.181,-14.310,40.539,0,0,1,0,0,1,
	42.047,66.579,-59.034,6.102,29.600,-371.450,0.000,-7.122,-14.630,40.762,0,0,1,0,0,1,
	42.052,66.579,-59.034,6.102,29.600,-371.000,0.000,-7.122,-14.630,40.762,0,0,1,0,0,1,
	42.057,66.579,-59.034,6.102,29.600,-370.550,0.000,-7.122,-14.630,40.762,0,0,1,0,0,1,
	42.061,66.579,-59.034,6.102,29.600,-370.100,0.000,-7.122,-14.630,40.762,0,0,1,0,0,1,
	42.065,66.579,-59.034,6.102,29.600,-369.750,0.000,-7.122,-14.630,40.762,0,0,1,0,0,1,
	42.069,66.466,-59.333,6.922,29.600,-369.450,0.000,-5.627,-14.950,41.018,0,0,1,0,0,1,
	42.073,66.466,-59.333,6.922,29.600,-369.000,0.000,-5.627,-14.950,41.018,0,0,1,0,0,1,
	42.078,66.466,-59.333,6.922,29.600,-368.450,0.000,-5.627,-14.950,41.018,0,0,1,0,0,1,
	42.083,66.466,-59.333,6.922,29.600,-368.000,0.000,-5.627,-14.950,41.018,0,0,1,0,0,1,
	42.089,66.379,-59.638,7.746,29.600,-367.450,0.000,-4.375,-15.270,41.194,0,0,1,0,0,1,
	42.093,66.379,-59.638,7.746,29.600,-367.050,0.000,-4.375,-15.270,41.194,0,0,1,0,0,1,
	42.096,66.379,-59.638,7.746,29.550,-366.650,0.000,-4.375,-15.270,41.194,0,0,1,0,0,1,
	42.100,66.379,-59.638,7.746,29.550,-366.250,0.000,-4.375,-15.270,41.194,0,0,1,0,0,1,
	42.104,66.379,-59.638,7.746,29.550,-365.850,0.000,-4.375,-15.270,41.194,0,0,1,0,0,1,
	42.108,66.322,-59.950,8.573,29.550,-365.450,0.000,-2.829,-15.590,41.353,0,0,1,0,0,1,
	42.112,66.322,-59.950,8.573,29.500,-364.950,0.000,-2.829,-15.590,41.353,0,0,1,0,0,1,
	42.116,66.322,-59.950,8.573,29.500,-364.550,0.000,-2.829,-15.590,41.353,0,0,1,0,0,1,
	42.120,66.322,-59.950,8.573,29.500,-364.100,0.000,-2.829,-15.590,41.353,0,0,1,0,0,1,
	42.125,66.322,-59.950,8.573,29.500,-363.600,0.000,-2.829,-15.590,41.353,0,0,1,0,0,1,
	42.129,66.298,-60.268,9.403,29.450,-363.150,0.000,-1.205,-15.910,41.455,0,0,1,0,0,1,
	42.133,66.298,-60.268,9.403,29.450,-362.600,0.000,-1.205,-15.910,41.455,0,0,1,0,0,1,
	42.137,66.298,-60.268,9.403,29.400,-362.200,0.000,-1.205,-15.910,41.455,0,0,1,0,0,1,
	42.141,66.298,-60.268,9.403,29.400,-361.750,0.000,-1.205,-15.910,41.455,0,0,1,0,0,1,
	42.146,66.300,-60.593,10.232,29.350,-361.150,0.000,0.133,-16.230,41.496,0,0,1,0,0,1,
	42.151,66.300,-60.593,10.232,29.350,-360.450,0.000,0.133,-16.230,41.496,0,0,1,0,0,1,
	42.155,66.300,-60.593,10.232,29.300,-359.950,0.000,0.133,-16.230,41.496,0,0,1,0,0,1,
	42.163,66.300,-60.593,10.232,29.250,-358.950,0.000,0.133,-16.230,41.496,0,0,1,0,0,1,
	42.166,66.344,-60.924,11.062,29.200,-358.400,0.000,2.160,-16.550,41.459,0,0,1,0,0,1,
	42.171,66.344,-60.924,11.062,29.150,-357.750,0.000,2.160,-16.550,41.459,0,0,1,0,0,1,
	42.175,66.344,-60.924,11.062,29.100,-357.350,0.000,2.160,-16.550,41.459,0,0,1,0,0,1,
	42.178,66.344,-60.924,11.062,29.050,-356.800,0.000,2.160,-16.550,41.459,0,0,1,0,0,1,
	42.182,66.344,-60.924,11.062,29.050,-356.250,0.000,2.160,-16.550,41.459,0,0,1,0,0,1,
	42.186,66.426,-61.261,11.888,29.000,-355.600,0.000,4.112,5.850,41.331,0,0,1,0,0,1,
	42.191,66.426,-61.261,11.888,28.900,-354.900,0.000,4.112,5.850,41.331,0,0,1,0,0,1,
	42.198,66.426,-61.261,11.888,28.850,-354.000,0.000,4.112,5.850,41.331,0,0,1,0,0,1,
	42.202,66.426,-61.261,11.888,28.800,-353.350,0.000,4.112,5.850,41.331,0,0,1,0,0,1,
	42.206,66.550,-61.132,12.710,28.750,-352.800,0.000,6.200,5.530,41.087,0,0,1,0,0,1,
	42.212,66.550,-61.132,12.710,28.650,-352.000,0.000,6.200,5.530,41.087,0,0,1,0,0,1,
	42.216,66.550,-61.132,12.710,28.600,-351.450,0.000,6.200,5.530,41.087,0,0,1,0,0,1,
	42.221,66.550,-61.132,12.710,28.550,-350.700,0.000,6.200,5.530,41.087,0,0,1,0,0,1,
	42.225,66.550,-61.132,12.710,28.500,-350.150,0.000,6.200,5.530,41.087,0,0,1,0,0,1,
	42.229,66.720,-61.028,13.524,28.450,-349.650,0.000,8.486,5.210,40.690,0,0,1,0,0,1,
	42.234,66.720,-61.028,13.524,28.400,-349.000,0.000,8.486,5.210,40.690,0,0,1,0,0,1,
	42.239,66.720,-61.028,13.524,28.300,-348.250,0.000,8.486,5.210,40.690,0,0,1,0,0,1,
	42.245,66.720,-61.028,13.524,28.250,-347.500,0.000,8.486,5.210,40.690,0,0,1,0,0,1,
	42.251,66.927,-60.930,14.329,28.200,-346.900,0.000,10.363,4.890,40.274,0,0,1,0,0,1,
	42.255,66.927,-60.930,14.329,28.100,-346.250,0.000,10.363,4.890,40.274,0,0,1,0,0,1,
