map
	ez_tower
end

value
	18.246,-81.056,1.615,-11.170,22.150,-162.950,0.000,-11.116,2.970,-31.470,0,0,1,0,0,1,
	18.249,-81.056,1.615,-11.170,22.150,-162.950,0.000,-11.116,2.970,-31.470,0,0,1,0,0,1,
	18.253,-81.056,1.615,-11.170,22.200,-162.950,0.000,-11.116,2.970,-31.470,0,0,1,0,0,1,
	18.257,-81.056,1.615,-11.170,22.200,-163.000,0.000,-11.116,2.970,-31.470,0,0,1,0,0,1,
	18.260,-81.056,1.615,-11.170,22.250,-163.100,0.000,-11.116,2.970,-31.470,0,0,1,0,0,1,
	18.265,-81.278,1.668,-11.799,22.300,-163.200,0.000,-11.116,2.650,-31.470,0,0,1,0,0,1,
	18.269,-81.278,1.668,-11.799,22.350,-163.350,0.000,-11.116,2.650,-31.470,0,0,1,0,0,1,
	18.275,-81.278,1.668,-11.799,22.400,-163.600,0.000,-11.116,2.650,-31.470,0,0,0,0,0,1,
	18.283,-81.500,1.715,-12.429,22.500,-164.000,0.000,-11.116,2.330,-31.470,0,0,0,1,0,1,
	18.292,-81.500,1.715,-12.429,22.550,-164.450,0.000,-11.116,2.330,-31.470,0,0,0,1,0,1,
	18.299,-81.500,1.715,-12.429,22.650,-164.950,0.000,-11.116,2.330,-31.470,0,0,0,1,0,1,
	18.304,-81.646,1.755,-13.079,22.700,-165.300,0.000,-7.289,2.010,-32.499,0,0,0,1,0,1,
	18.308,-81.646,1.755,-13.079,22.750,-165.600,0.000,-7.289,2.010,-32.499,0,0,0,1,0,1,
	18.311,-81.646,1.755,-13.079,22.800,-165.900,0.000,-7.289,2.010,-32.499,0,0,0,1,0,1,
	18.316,-81.646,1.755,-13.079,22.850,-166.250,0.000,-7.289,2.010,-32.499,0,0,0,1,0,1,
	18.320,-81.646,1.755,-13.079,22.900,-166.750,0.000,-7.289,2.010,-32.499,0,0,0,1,0,1,
	18.326,-81.772,1.789,-13.734,22.950,-167.250,0.000,-6.271,1.690,-32.738,0,0,0,1,0,1,
	18.330,-81.772,1.789,-13.734,23.000,-167.750,0.000,-6.271,1.690,-32.738,0,0,0,1,0,1,
	18.334,-81.772,1.789,-13.734,23.050,-168.150,0.000,-6.271,1.690,-32.738,0,0,0,1,0,1,
	18.340,-81.772,1.789,-13.734,23.100,-168.800,0.000,-6.271,1.690,-32.738,0,0,0,1,0,1,
	18.344,-81.874,1.816,-14.393,23.150,-169.400,0.000,-5.101,1.370,-32.970,0,0,0,1,0,1,
	18.348,-81.874,1.816,-14.393,23.200,-169.850,0.000,-5.101,1.370,-32.970,0,0,0,1,0,1,
	18.352,-81.874,1.816,-14.393,23.250,-170.400,0.000,-5.101,1.370,-32.970,0,0,0,1,0,1,
	18.358,-81.874,1.816,-14.393,23.250,-171.150,0.000,-5.101,1.370,-32.970,0,0,0,1,0,1,
