map
	ez_stream
end

value
	11.00204,33.11895,-42.97432,-2.68127,5.95007,178.35040,0.00000,2.50961,-4.16279,-39.71492,0,0,0,1,0,0,
	11.00601,33.11895,-42.97432,-2.68127,6.00007,178.30040,0.00000,2.50961,-4.16279,-39.71492,0,0,0,1,0,0,
	11.00904,33.11895,-42.97432,-2.68127,6.00007,178.30040,0.00000,2.50961,-4.16279,-39.71492,0,0,0,1,0,0,
	11.01297,33.17053,-43.06398,-3.47553,6.00007,178.25040,0.00000,2.57900,-4.48279,-39.71286,0,0,0,1,0,0,
	11.01609,33.17053,-43.06398,-3.47553,6.00007,178.25040,0.00000,2.57900,-4.48279,-39.71286,0,0,0,1,0,0,
	11.02098,33.17053,-43.06398,-3.47553,6.00007,178.20040,0.00000,2.57900,-4.48279,-39.71286,0,0,0,1,0,0,
	11.02624,33.17053,-43.06398,-3.47553,6.05007,178.15040,0.00000,2.57900,-4.48279,-39.71286,0,0,0,1,0,0,
	11.03106,33.17053,-43.06398,-3.47553,6.05007,178.10040,0.00000,2.57900,-4.48279,-39.71286,0,0,0,1,0,0,
	11.03684,33.22489,-43.16003,-4.26970,6.05007,178.00040,0.00000,2.71778,-4.80279,-39.70826,0,0,0,1,0,0,
	11.04229,33.22489,-43.16003,-4.26970,6.10007,177.90040,0.00000,2.71778,-4.80279,-39.70826,0,0,0,1,0,0,
	11.04627,33.22489,-43.16003,-4.26970,6.10007,177.85040,0.00000,2.71778,-4.80279,-39.70826,0,0,0,1,0,0,
	11.05091,33.22489,-43.16003,-4.26970,6.15007,177.75040,0.00000,2.71778,-4.80279,-39.70826,0,0,0,1,0,0,
	11.05739,33.28410,-43.26249,-5.06367,6.15007,177.65030,0.00000,2.96061,-5.12279,-39.69872,0,0,0,1,0,0,
	11.06224,33.28410,-43.26249,-5.06367,6.20007,177.55030,0.00000,2.96061,-5.12279,-39.69872,0,0,0,1,0,0,
	11.06554,33.28410,-43.26249,-5.06367,6.20007,177.50030,0.00000,2.96061,-5.12279,-39.69872,0,0,0,1,0,0,
	11.07061,33.28410,-43.26249,-5.06367,6.20007,177.40030,0.00000,2.96061,-5.12279,-39.69872,0,0,0,1,0,0,
	11.07538,33.34817,-43.37135,-5.85742,6.20007,177.35030,0.00000,3.20342,-5.44279,-39.68769,0,0,0,1,0,0,
	11.07930,33.34817,-43.37135,-5.85742,6.20007,177.30030,0.00000,3.20342,-5.44279,-39.68769,0,0,0,1,0,0,
	11.08280,33.34817,-43.37135,-5.85742,6.25007,177.25030,0.00000,3.20342,-5.44279,-39.68769,0,0,0,1,0,0,
	11.08627,33.34817,-43.37135,-5.85742,6.25007,177.25030,0.00000,3.20342,-5.44279,-39.68769,0,0,0,1,0,0,
	11.09061,33.34817,-43.37135,-5.85742,6.25007,177.20030,0.00000,3.20342,-5.44279,-39.68769,0,0,0,1,0,0,
	11.09434,33.41501,-43.48660,-6.65104,6.25007,177.20030,0.00000,3.34218,-5.76279,-39.68090,0,0,0,1,0,0,
	11.09752,33.41501,-43.48660,-6.65104,6.25007,177.20030,0.00000,3.34218,-5.76279,-39.68090,0,0,0,1,0,0,
	11.10308,33.41501,-43.48660,-6.65104,6.25007,177.15030,0.00000,3.34218,-5.76279,-39.68090,0,0,0,1,0,0,
	11.10573,33.41501,-43.48660,-6.65104,6.25007,177.15030,0.00000,3.34218,-5.76279,-39.68090,0,0,0,1,0,0,
	11.10873,33.41501,-43.48660,-6.65104,6.25007,177.15030,0.00000,3.34218,-5.76279,-39.68090,0,0,0,1,0,0,
	11.11136,33.41501,-43.48660,-6.65104,6.25007,177.15030,0.00000,3.34218,-5.76279,-39.68090,0,0,0,1,0,0,
	11.11417,33.48255,-43.60826,-7.44463,6.25007,177.15030,0.00000,3.37686,-6.08279,-39.67918,0,0,0,1,0,0,
	11.11862,33.48255,-43.60826,-7.44463,6.25007,177.15030,0.00000,3.37686,-6.08279,-39.67918,0,0,0,1,0,0,
	11.12187,33.48255,-43.60826,-7.44463,6.25007,177.15030,0.00000,3.37686,-6.08279,-39.67918,0,0,0,1,0,0,
	11.12499,33.48255,-43.60826,-7.44463,6.25007,177.15030,0.00000,3.37686,-6.08279,-39.67918,0,0,0,1,0,0,
	11.12774,33.48255,-43.60826,-7.44463,6.25007,177.15030,0.00000,3.37686,-6.08279,-39.67918,0,0,0,1,0,0,
	11.13166,33.48255,-43.60826,-7.44463,6.25007,177.15030,0.00000,3.37686,-6.08279,-39.67918,0,0,0,1,0,0,
	11.13603,33.55008,-43.73631,-8.23821,6.25007,177.15030,0.00000,3.37686,-6.40279,-39.67918,0,0,0,1,0,0,
	11.14016,33.55008,-43.73631,-8.23821,6.25007,177.15030,0.00000,3.37686,-6.40279,-39.67918,0,0,0,1,0,0,
	11.14295,33.55008,-43.73631,-8.23821,6.25007,177.15030,0.00000,3.37686,-6.40279,-39.67918,0,0,0,1,0,0,
	11.14602,33.55008,-43.73631,-8.23821,6.25007,177.15030,0.00000,3.37686,-6.40279,-39.67918,0,0,0,1,0,0,
	11.14916,33.55008,-43.73631,-8.23821,6.25007,177.15030,0.00000,3.37686,-6.40279,-39.67918,0,0,0,1,0,0,
	11.15272,33.61762,-43.87077,-9.03179,6.25007,177.15030,0.00000,3.37686,-6.72279,-39.67918,0,0,0,1,0,0,
	11.15631,33.61762,-43.87077,-9.03179,6.25007,177.15030,0.00000,3.37686,-6.72279,-39.67918,0,0,0,1,0,0,
	11.15933,33.61762,-43.87077,-9.03179,6.25007,177.15030,0.00000,3.37686,-6.72279,-39.67918,0,0,0,1,0,0,
	11.16260,33.61762,-43.87077,-9.03179,6.25007,177.15030,0.00000,3.37686,-6.72279,-39.67918,0,0,0,1,0,0,
	11.16546,33.61762,-43.87077,-9.03179,6.25007,177.15030,0.00000,3.37686,-6.72279,-39.67918,0,0,0,1,0,0,
	11.16904,33.61762,-43.87077,-9.03179,6.25007,177.15030,0.00000,3.37686,-6.72279,-39.67918,0,0,0,1,0,0,
	11.17217,33.61762,-43.87077,-9.03179,6.25007,177.15030,0.00000,3.37686,-6.72279,-39.67918,0,0,0,1,0,0,
	11.17487,33.68515,-44.01163,-9.82538,6.25007,177.15030,0.00000,3.37686,-7.04279,-39.67918,0,0,0,1,0,0,
	11.17893,33.68515,-44.01163,-9.82538,6.25007,177.15030,0.00000,3.37686,-7.04279,-39.67918,0,0,0,1,0,0,
	11.18165,33.68515,-44.01163,-9.82538,6.25007,177.15030,0.00000,3.37686,-7.04279,-39.67918,0,0,0,1,0,0,
	11.18533,33.68515,-44.01163,-9.82538,6.25007,177.15030,0.00000,3.37686,-7.04279,-39.67918,0,0,0,1,0,0,
