map
	ez_tower
end

value
	6.003,71.055,1.910,-11.397,28.700,0.200,0.000,0.817,0.410,20.251,0,0,1,0,0,1,
	6.007,71.055,1.910,-11.397,28.700,1.000,0.000,0.817,0.410,20.251,0,0,1,0,0,1,
	6.010,71.055,1.910,-11.397,28.750,1.600,0.000,0.817,0.410,20.251,0,0,1,0,0,1,
	6.014,71.055,1.910,-11.397,28.750,2.450,0.000,0.817,0.410,20.251,0,0,1,0,0,1,
	6.018,71.100,1.912,-10.993,28.750,3.000,0.000,2.265,0.090,20.189,0,0,1,0,0,1,
	6.023,71.100,1.912,-10.993,28.800,4.200,0.000,2.265,0.090,20.189,0,0,1,0,0,1,
	6.026,71.100,1.912,-10.993,28.850,5.000,0.000,2.265,0.090,20.189,0,0,1,0,0,1,
	6.030,71.100,1.912,-10.993,28.850,5.550,0.000,2.265,0.090,20.189,0,0,1,0,0,1,
	6.033,71.100,1.912,-10.993,28.850,6.300,0.000,2.265,0.090,20.189,0,0,1,0,0,1,
	6.037,71.100,1.912,-10.993,28.900,6.900,0.000,2.265,0.090,20.189,0,0,1,0,0,1,
	6.040,71.177,1.908,-10.593,28.900,7.850,0.000,3.830,-0.230,19.999,0,0,1,0,0,1,
	6.044,71.177,1.908,-10.593,28.900,8.650,0.000,3.830,-0.230,19.999,0,0,1,0,0,1,
	6.049,71.177,1.908,-10.593,28.950,9.550,0.000,3.830,-0.230,19.999,0,0,1,0,0,1,
	6.053,71.177,1.908,-10.593,28.950,10.100,0.000,3.830,-0.230,19.999,0,0,1,0,0,1,
	6.056,71.177,1.908,-10.593,29.000,11.050,0.000,3.830,-0.230,19.999,0,0,1,0,0,1,
	6.060,71.282,1.897,-10.199,29.000,11.800,0.000,5.277,-0.550,19.717,0,0,1,0,0,1,
	6.064,71.282,1.897,-10.199,29.050,12.550,0.000,5.277,-0.550,19.717,0,0,1,0,0,1,
	6.068,71.282,1.897,-10.199,29.050,13.100,0.000,5.277,-0.550,19.717,0,0,1,0,0,1,
	6.071,71.282,1.897,-10.199,29.050,13.850,0.000,5.277,-0.550,19.717,0,0,1,0,0,1,
	6.075,71.282,1.897,-10.199,29.100,14.750,0.000,5.277,-0.550,19.717,0,0,1,0,0,1,
	6.079,71.413,1.879,-9.811,29.100,15.500,0.000,6.550,-0.870,19.382,0,0,1,0,0,1,
	6.083,71.413,1.879,-9.811,29.100,16.250,0.000,6.550,-0.870,19.382,0,0,1,0,0,1,
	6.087,71.413,1.879,-9.811,29.100,16.850,0.000,6.550,-0.870,19.382,0,0,1,0,0,1,
	6.091,71.413,1.879,-9.811,29.150,17.600,0.000,6.550,-0.870,19.382,0,0,1,0,0,1,
	6.095,71.413,1.879,-9.811,29.200,18.550,0.000,6.550,-0.870,19.382,0,0,1,0,0,1,
	6.098,71.570,1.855,-9.432,29.200,19.350,0.000,7.836,-1.190,18.950,0,0,1,0,0,1,
	6.102,71.570,1.855,-9.432,29.250,20.100,0.000,7.836,-1.190,18.950,0,0,1,0,0,1,
	6.106,71.570,1.855,-9.432,29.250,20.900,0.000,7.836,-1.190,18.950,0,0,1,0,0,1,
	6.110,71.570,1.855,-9.432,29.300,21.450,0.000,7.836,-1.190,18.950,0,0,1,0,0,1,
	6.113,71.570,1.855,-9.432,29.300,22.450,0.000,7.836,-1.190,18.950,0,0,1,0,0,1,
	6.117,71.570,1.855,-9.432,29.350,23.000,0.000,7.836,-1.190,18.950,0,0,1,0,0,1,
	6.120,71.756,1.825,-9.066,29.350,23.800,0.000,9.301,-1.510,18.328,0,0,1,0,0,1,
	6.126,71.756,1.825,-9.066,29.400,24.700,0.000,9.301,-1.510,18.328,0,0,1,0,0,1,
	6.130,71.756,1.825,-9.066,29.450,25.850,0.000,9.301,-1.510,18.328,0,0,1,0,0,1,
	6.134,71.756,1.825,-9.066,29.450,26.650,0.000,9.301,-1.510,18.328,0,0,1,0,0,1,
	6.139,71.966,1.789,-8.711,29.450,27.400,0.000,10.470,-1.830,17.742,0,0,1,0,0,1,
	6.144,71.966,1.789,-8.711,29.500,28.350,0.000,10.470,-1.830,17.742,0,0,1,0,0,1,
	6.147,71.966,1.789,-8.711,29.500,29.300,0.000,10.470,-1.830,17.742,0,0,1,0,0,1,
	6.151,71.966,1.789,-8.711,29.500,30.050,0.000,10.470,-1.830,17.742,0,0,1,0,0,1,
	6.155,71.966,1.789,-8.711,29.550,30.850,0.000,10.470,-1.830,17.742,0,0,1,0,0,1,
	6.160,72.201,1.746,-8.371,29.550,31.600,0.000,11.766,-2.150,16.968,0,0,1,0,0,1,
	6.165,72.201,1.746,-8.371,29.550,32.800,0.000,11.766,-2.150,16.968,0,0,1,0,0,1,
	6.168,72.201,1.746,-8.371,29.550,33.550,0.000,11.766,-2.150,16.968,0,0,1,0,0,1,
	6.172,72.201,1.746,-8.371,29.550,34.350,0.000,11.766,-2.150,16.968,0,0,1,0,0,1,
	6.178,72.457,1.696,-8.046,29.600,35.300,0.000,12.806,-2.470,16.257,0,0,1,0,0,1,
	6.182,72.457,1.696,-8.046,29.600,36.300,0.000,12.806,-2.470,16.257,0,0,1,0,0,1,
	6.186,72.457,1.696,-8.046,29.600,37.100,0.000,12.806,-2.470,16.257,0,0,1,0,0,1,
	6.189,72.457,1.696,-8.046,29.650,37.900,0.000,12.806,-2.470,16.257,0,0,1,0,0,1,
	6.193,72.457,1.696,-8.046,29.650,38.500,0.000,12.806,-2.470,16.257,0,0,1,0,0,1,
	6.197,72.457,1.696,-8.046,29.650,39.500,0.000,12.806,-2.470,16.257,0,0,1,0,0,1,
	6.201,72.742,1.640,-7.745,29.650,40.050,0.000,14.241,-2.790,15.074,0,0,1,0,0,1,
	6.206,72.742,1.640,-7.745,29.700,41.250,0.000,14.241,-2.790,15.074,0,0,1,0,0,1,
	6.209,72.742,1.640,-7.745,29.700,42.050,0.000,14.241,-2.790,15.074,0,0,1,0,0,1,
	6.213,72.742,1.640,-7.745,29.700,42.650,0.000,14.241,-2.790,15.074,0,0,1,0,0,1,
	6.216,72.742,1.640,-7.745,29.700,43.450,0.000,14.241,-2.790,15.074,0,0,1,0,0,1,
	6.221,73.047,1.578,-7.463,29.750,44.650,0.000,15.278,-3.110,14.092,0,0,1,0,0,1,
	6.225,73.047,1.578,-7.463,29.750,45.450,0.000,15.278,-3.110,14.092,0,0,1,0,0,1,
	6.231,73.047,1.578,-7.463,29.800,46.450,0.000,15.278,-3.110,14.092,0,0,1,0,0,1,
	6.234,73.047,1.578,-7.463,29.800,47.250,0.000,15.278,-3.110,14.092,0,0,1,0,0,1,
	6.238,73.372,1.510,-7.201,29.800,48.050,0.000,16.213,-3.430,13.080,0,0,1,0,0,1,
