map
	ez_square
end

value
	0.36070,16.01926,1.90000,92.47843,29.60000,179.60010,0.00000,0.09356,0.00000,-4.49848,1,0,0,0,0,0,
	0.37305,16.02094,1.90000,92.38046,30.20001,179.65010,0.00000,0.08392,0.00000,-4.89864,1,0,0,0,0,0,
	0.37813,16.02094,1.90000,92.38046,30.40001,179.70010,0.00000,0.08392,0.00000,-4.89864,1,0,0,0,0,0,
	0.38315,16.02094,1.90000,92.38046,30.65001,179.70010,0.00000,0.08392,0.00000,-4.89864,1,0,0,0,0,0,
	0.38747,16.02094,1.90000,92.38046,30.80001,179.70010,0.00000,0.08392,0.00000,-4.89864,1,0,0,0,0,0,
	0.39130,16.02245,1.90000,92.27449,30.95000,179.70010,0.00000,0.07531,0.00000,-5.29876,1,0,0,0,0,0,
	0.39734,16.02245,1.90000,92.27449,31.15000,179.70010,0.00000,0.07531,0.00000,-5.29876,1,0,0,0,0,0,
	0.40533,16.02245,1.90000,92.27449,31.50002,179.70010,0.00000,0.07531,0.00000,-5.29876,1,0,0,0,0,0,
	0.40891,16.02383,1.90000,92.16051,31.65000,179.70010,0.00000,0.06932,0.00000,-5.69883,1,0,0,0,0,0,
	0.41886,16.02383,1.90000,92.16051,32.05001,179.70010,0.00000,0.06932,0.00000,-5.69883,1,0,0,0,0,0,
	0.42378,16.02383,1.90000,92.16051,32.20000,179.65010,0.00000,0.06932,0.00000,-5.69883,1,0,0,0,0,0,
	0.42838,16.02383,1.90000,92.16051,32.35001,179.65010,0.00000,0.06932,0.00000,-5.69883,1,0,0,0,0,0,
	0.43780,16.02516,1.90000,92.03854,32.70001,179.60010,0.00000,0.06631,0.00000,-6.09887,1,0,0,0,0,0,
	0.44354,16.02516,1.90000,92.03854,32.90001,179.55010,0.00000,0.06631,0.00000,-6.09887,1,0,0,0,0,0,
	0.45424,16.02649,1.90000,91.90856,33.25000,179.50010,0.00000,0.06674,0.00000,-6.49889,1,0,0,0,0,0,
	0.45806,16.02649,1.90000,91.90856,33.35000,179.50010,0.00000,0.06674,0.00000,-6.49889,1,0,0,0,0,0,
	0.46525,16.02649,1.90000,91.90856,33.50001,179.45010,0.00000,0.06674,0.00000,-6.49889,1,0,0,0,0,0,
	0.47014,16.02789,1.90000,91.77058,33.65001,179.40010,0.00000,0.06997,0.00000,-6.89887,1,0,0,0,0,0,
	0.47465,16.02789,1.90000,91.77058,33.75000,179.35010,0.00000,0.06997,0.00000,-6.89887,1,0,0,0,0,0,
	0.48005,16.02789,1.90000,91.77058,33.85001,179.30000,0.00000,0.06997,0.00000,-6.89887,1,0,0,0,0,0,
	0.48695,16.02789,1.90000,91.77058,34.00001,179.25000,0.00000,0.06997,0.00000,-6.89887,1,0,0,0,0,0,
	0.49104,16.02945,1.90000,91.62461,34.05000,179.20000,0.00000,0.07786,0.00000,-7.29881,1,0,0,0,0,0,
	0.49738,16.02945,1.90000,91.62461,34.15001,179.15000,0.00000,0.07786,0.00000,-7.29881,1,0,0,0,0,0,
	0.50139,16.02945,1.90000,91.62461,34.20000,179.10000,0.00000,0.07786,0.00000,-7.29881,1,0,0,0,0,0,
	0.50662,16.02945,1.90000,91.62461,34.25000,179.05000,0.00000,0.07786,0.00000,-7.29881,1,0,0,0,0,0,
	0.51061,16.03125,1.90000,91.47063,34.30001,179.00000,0.00000,0.08981,0.00000,-7.69868,1,0,0,0,0,0,
	0.51692,16.03125,1.90000,91.47063,34.35000,178.95000,0.00000,0.08981,0.00000,-7.69868,1,0,0,0,0,0,
	0.51974,16.03125,1.90000,91.47063,34.35000,178.95000,0.00000,0.08981,0.00000,-7.69868,1,0,0,0,0,0,
	0.52421,16.03125,1.90000,91.47063,34.40000,178.90000,0.00000,0.08981,0.00000,-7.69868,1,0,0,0,0,0,
	0.53036,16.03318,1.90000,91.31664,34.40000,178.85000,0.00000,0.09661,0.00000,-7.69956,1,0,0,0,0,0,
	0.53650,16.03318,1.90000,91.31664,34.45000,178.75000,0.00000,0.09661,0.00000,-7.69956,1,0,0,0,0,0,
	0.53953,16.03318,1.90000,91.31664,34.45000,178.75000,0.00000,0.09661,0.00000,-7.69956,1,0,0,0,0,0,
	0.54622,16.03318,1.90000,91.31664,34.50000,178.65000,0.00000,0.09661,0.00000,-7.69956,1,0,0,0,0,0,
	0.55048,16.03531,1.90000,91.16265,34.50000,178.60000,0.00000,0.10653,0.00000,-7.69963,1,0,0,0,0,0,
	0.55505,16.03531,1.90000,91.16265,34.50000,178.55000,0.00000,0.10653,0.00000,-7.69963,1,0,0,0,0,0,
	0.55946,16.03531,1.90000,91.16265,34.50000,178.50000,0.00000,0.10653,0.00000,-7.69963,1,0,0,0,0,0,
	0.56435,16.03531,1.90000,91.16265,34.50000,178.40000,0.00000,0.10653,0.00000,-7.69963,1,0,0,0,0,0,
	0.56997,16.03769,1.90000,91.00866,34.50000,178.30000,0.00000,0.11922,0.00000,-7.69967,1,0,0,0,0,0,
	0.57617,16.03769,1.90000,91.00866,34.50000,178.20000,0.00000,0.11922,0.00000,-7.69967,1,0,0,0,0,0,
	0.58112,16.03769,1.90000,91.00866,34.50000,178.10000,0.00000,0.11922,0.00000,-7.69967,1,0,0,0,0,0,
	0.58562,16.03769,1.90000,91.00866,34.45000,178.00000,0.00000,0.11922,0.00000,-7.69967,1,0,0,0,0,0,
	0.59185,16.04043,1.90000,90.85466,34.40000,177.85000,0.00000,0.13672,0.00000,-7.69992,1,0,0,0,0,0,
	0.59702,16.04043,1.90000,90.85466,34.35000,177.70000,0.00000,0.13672,0.00000,-7.69992,1,0,0,0,0,0,
	0.60152,16.04043,1.90000,90.85466,34.35000,177.60000,0.00000,0.13672,0.00000,-7.69992,1,0,0,0,0,0,
	0.60698,16.04043,1.90000,90.85466,34.25000,177.45000,0.00000,0.13672,0.00000,-7.69992,1,0,0,0,0,0,
	0.61133,16.04365,1.90000,90.70065,34.20000,177.35000,0.00000,0.16084,0.00000,-7.70047,1,0,0,0,0,0,
	0.61783,16.04365,1.90000,90.70065,34.15001,177.15000,0.00000,0.16084,0.00000,-7.70047,1,0,0,0,0,0,
	0.62546,16.04365,1.90000,90.70065,34.05000,176.95000,0.00000,0.16084,5.85000,-7.70047,1,0,0,0,0,1,
	0.62993,16.04745,2.01060,90.54664,34.00001,176.85000,0.00000,0.19001,5.53000,-7.70080,1,0,0,0,0,1,
	0.63978,16.04745,2.01060,90.54664,33.80000,176.65000,0.00000,0.19001,5.53000,-7.70080,1,0,0,0,0,1,
	0.64408,16.04745,2.01060,90.54664,33.70000,176.60000,0.00000,0.19001,5.53000,-7.70080,1,0,0,0,0,1,
	0.64880,16.05125,2.11480,90.39262,33.60000,176.55000,0.00000,0.19001,5.21000,-7.70080,1,0,0,0,0,1,
	0.65789,16.05125,2.11480,90.39262,33.35001,176.45000,0.00000,0.19001,5.21000,-7.70080,1,0,0,0,0,1,
	0.66357,16.05125,2.11480,90.39262,33.15001,176.45000,0.00000,0.19001,5.21000,-7.70080,1,0,0,0,0,1,
	0.67132,16.05505,2.21260,90.23861,32.85001,176.45000,0.00000,0.19001,4.89000,-7.70080,1,0,1,0,0,1,
	0.67697,16.05505,2.21260,90.23861,32.65001,176.50000,0.00000,0.19001,4.89000,-7.70080,1,0,1,0,0,1,
	0.68496,16.05505,2.21260,90.23861,32.25000,176.65000,0.00000,0.19001,4.89000,-7.70080,0,0,1,0,0,1,
	0.69147,16.03609,2.30400,90.08326,32.00000,176.80000,0.00000,-0.94772,4.57000,-7.76740,0,0,1,0,0,1,
	0.70053,16.03609,2.30400,90.08326,31.55000,177.15000,0.00000,-0.94772,4.57000,-7.76740,0,0,1,0,0,1,
	0.70454,16.03609,2.30400,90.08326,31.25001,177.50000,0.00000,-0.94772,4.57000,-7.76740,0,0,1,0,0,1,
	0.70866,16.01485,2.38900,89.92781,31.05000,177.75000,0.00000,-1.06198,4.25000,-7.77239,0,0,1,0,0,1,
	0.71820,16.01485,2.38900,89.92781,30.55000,178.45000,0.00000,-1.06198,4.25000,-7.77239,0,0,1,0,0,1,
	0.72287,16.01485,2.38900,89.92781,30.20001,179.05000,0.00000,-1.06198,4.25000,-7.77239,0,0,1,0,0,1,
	0.72767,16.01485,2.38900,89.92781,29.85000,179.65000,0.00000,-1.06198,4.25000,-7.77239,0,0,1,0,0,1,
	0.73296,15.98780,2.46760,89.77233,29.55001,180.35000,0.00000,-1.35253,3.93000,-7.77416,0,0,1,0,0,1,
	0.73812,15.98780,2.46760,89.77233,29.25001,181.10000,0.00000,-1.35253,3.93000,-7.77416,0,0,1,0,0,1,
	0.74401,15.98780,2.46760,89.77233,28.95000,181.95000,0.00000,-1.35253,3.93000,-7.77416,0,0,1,0,0,1,
	0.75024,15.95450,2.53980,89.61706,28.45000,183.40000,0.00000,-1.66513,3.61000,-7.76352,0,0,1,0,0,1,
	0.75587,15.95450,2.53980,89.61706,28.05001,184.60000,0.00000,-1.66513,3.61000,-7.76352,0,0,1,0,0,1,
	0.75952,15.95450,2.53980,89.61706,27.80000,185.50000,0.00000,-1.66513,3.61000,-7.76352,0,0,1,0,0,1,
	0.76613,15.95450,2.53980,89.61706,27.40001,187.10000,0.00000,-1.66513,3.61000,-7.76352,0,0,1,0,0,1,
	0.77152,15.90716,2.60560,89.46354,27.10001,188.30000,0.00000,-2.36692,3.29000,-7.67611,0,0,1,0,0,1,
	0.78037,15.90716,2.60560,89.46354,26.55001,190.85000,0.00000,-2.36692,3.29000,-7.67611,0,0,1,0,0,1,
