map
	ez_stream
end

value
	21.21952,-38.58971,-108.68090,-173.78970,11.00003,171.40110,0.00000,5.91903,1.27459,-42.71845,0,0,1,0,0,0,
	21.22416,-38.58971,-108.68090,-173.78970,11.05003,171.95100,0.00000,5.91903,1.27459,-42.71845,0,0,1,0,0,0,
	21.22971,-38.58971,-108.68090,-173.78970,11.15003,172.60110,0.00000,5.91903,1.27459,-42.71845,0,0,1,0,0,0,
	21.23596,-38.50640,-108.66180,-174.64870,11.25004,173.20110,0.00000,4.16518,0.95459,-42.94620,0,0,1,0,0,0,
	21.24009,-38.50640,-108.66180,-174.64870,11.30003,173.60100,0.00000,4.16518,0.95459,-42.94620,0,0,1,0,0,0,
	21.24530,-38.50640,-108.66180,-174.64870,11.40003,174.25110,0.00000,4.16518,0.95459,-42.94620,0,0,1,0,0,0,
	21.25915,-38.44782,-108.64910,-175.51010,11.55003,175.60110,0.00000,2.92906,0.63459,-43.07065,0,0,1,0,0,0,
	21.26292,-38.44782,-108.64910,-175.51010,11.60003,176.05110,0.00000,2.92906,0.63459,-43.07065,0,0,1,0,0,0,
	21.26876,-38.44782,-108.64910,-175.51010,11.70004,176.55110,0.00000,2.92906,0.63459,-43.07065,0,0,1,0,0,0,
	21.27280,-38.42383,-108.64280,-176.37360,11.75003,176.90110,0.00000,1.19951,0.31459,-43.17488,0,0,1,0,0,0,
	21.28094,-38.42383,-108.64280,-176.37360,11.80004,177.65110,0.00000,1.19951,0.31459,-43.17488,0,0,1,0,0,0,
	21.28783,-38.42383,-108.64280,-176.37360,11.90004,178.20100,0.00000,1.19951,0.31459,-43.17488,0,0,1,0,0,0,
	21.29267,-38.42470,-108.64300,-177.23790,11.90004,178.55100,0.00000,-0.04343,-0.00541,-43.21392,0,0,1,0,0,0,
	21.29809,-38.42470,-108.64300,-177.23790,11.95004,179.00110,0.00000,-0.04343,-0.00541,-43.21392,0,0,1,0,0,0,
	21.30499,-38.42470,-108.64300,-177.23790,12.00004,179.45110,0.00000,-0.04343,-0.00541,-43.21392,0,0,1,0,0,0,
	21.31317,-38.44442,-108.64950,-178.10230,12.05004,179.95100,0.00000,-0.98595,-0.32541,-43.22295,0,0,1,0,0,0,
	21.31992,-38.44442,-108.64950,-178.10230,12.10004,180.45110,0.00000,-0.98595,-0.32541,-43.22295,0,0,1,0,0,0,
	21.32718,-38.44442,-108.64950,-178.10230,12.10004,180.85100,0.00000,-0.98595,-0.32541,-43.22295,0,0,1,0,0,0,
	21.33186,-38.44442,-108.64950,-178.10230,12.10004,181.20100,0.00000,-0.98595,-0.32541,-43.22295,0,0,1,0,0,0,
	21.33587,-38.49054,-108.66240,-178.96620,12.15003,181.35110,0.00000,-2.30588,-0.64541,-43.19528,0,0,1,0,0,0,
	21.34098,-38.49054,-108.66240,-178.96620,12.15003,181.60100,0.00000,-2.30588,-0.64541,-43.19528,0,0,1,0,0,0,
	21.34495,-38.49054,-108.66240,-178.96620,12.15004,181.80110,0.00000,-2.30588,-0.64541,-43.19528,0,0,1,0,0,0,
	21.35129,-38.49054,-108.66240,-178.96620,12.15004,182.05110,0.00000,-2.30588,-0.64541,-43.19528,0,0,1,0,0,0,
	21.35516,-38.54948,-108.68170,-179.82970,12.15004,182.20110,0.00000,-2.94704,-0.96541,-43.17232,0,0,1,0,0,0,
	21.35938,-38.54948,-108.68170,-179.82970,12.15004,182.30110,0.00000,-2.94704,-0.96541,-43.17232,0,0,1,0,0,0,
	21.36288,-38.54948,-108.68170,-179.82970,12.15004,182.40100,0.00000,-2.94704,-0.96541,-43.17232,0,0,1,0,0,0,
	21.36863,-38.54948,-108.68170,-179.82970,12.15003,182.55110,0.00000,-2.94704,-0.96541,-43.17232,0,0,1,0,0,0,
	21.37258,-38.54948,-108.68170,-179.82970,12.15004,182.60100,0.00000,-2.94704,-0.96541,-43.17232,0,0,1,0,0,0,
	21.37656,-38.61671,-108.70740,-180.69270,12.15004,182.65100,0.00000,-3.36181,-1.28541,-43.15348,0,0,1,0,0,0,
	21.38069,-38.61671,-108.70740,-180.69270,12.15004,182.70100,0.00000,-3.36181,-1.28541,-43.15348,0,0,1,0,0,0,
