map
	ez_square
end

value
	0.00737,0.00000,1.90000,0.00000,5.50000,356.15000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.01838,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.02261,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.02594,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.02928,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.03351,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.03718,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.04007,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.04273,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.04580,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.05032,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.05377,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.05652,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.05919,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.06222,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.06730,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.07056,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.07340,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.07634,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.07923,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.08354,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.08732,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.09003,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.09300,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.09592,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.10029,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.10384,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.10666,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.11032,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.11684,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.11994,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.12268,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.12608,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.12893,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.13272,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.13652,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.13978,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.14271,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.14578,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.15018,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.15370,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.15679,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.15952,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.16232,0.00000,1.90000,0.00000,5.55000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.16789,0.00000,1.90000,0.00000,5.60000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.17113,0.00000,1.90000,0.00000,5.60000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.17396,0.00000,1.90000,0.00000,5.60000,356.10000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.17736,0.00000,1.90000,0.00000,5.65000,356.05000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.18007,0.00000,1.90000,0.00000,5.65000,356.05000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.18892,0.00000,1.90000,0.00000,5.75000,356.00000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.19467,0.00000,1.90000,0.00000,5.80000,355.95000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.20098,0.00000,1.90000,0.00000,5.90000,355.90000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
