map
	ez_tower
end

value
	0.225,75.000,0.900,-74.848,0.000,0.000,0.000,0.000,0.000,2.500,1,0,0,0,0,0,
	0.228,75.000,0.900,-74.848,0.000,0.000,0.000,0.000,0.000,2.500,1,0,0,0,0,0,
	0.231,75.000,0.900,-74.848,0.000,0.000,0.000,0.000,0.000,2.500,1,0,0,0,0,0,
	0.233,75.000,0.900,-74.848,0.000,0.000,0.000,0.000,0.000,2.500,1,0,0,0,0,0,
	0.236,75.000,0.900,-74.848,0.000,0.000,0.000,0.000,0.000,2.500,1,0,0,0,0,0,
	0.239,75.000,0.900,-74.790,0.000,0.000,0.000,0.000,0.000,2.900,1,0,0,0,0,0,
	0.243,75.000,0.900,-74.790,0.000,0.000,0.000,0.000,0.000,2.900,1,0,0,0,0,0,
	0.247,75.000,0.900,-74.790,0.000,0.000,0.000,0.000,0.000,2.900,1,0,0,0,0,0,
	0.250,75.000,0.900,-74.790,0.000,0.000,0.000,0.000,0.000,2.900,1,0,0,0,0,0,
	0.253,75.000,0.900,-74.790,0.000,0.000,0.000,0.000,0.000,2.900,1,0,0,0,0,0,
	0.256,75.000,0.900,-74.790,0.000,0.000,0.000,0.000,0.000,2.900,1,0,0,0,0,0,
	0.261,75.000,0.900,-74.724,0.100,0.000,0.000,0.000,0.000,3.300,1,0,0,0,0,0,
	0.266,75.000,0.900,-74.724,0.200,0.000,0.000,0.000,0.000,3.300,1,0,0,0,0,0,
	0.269,75.000,0.900,-74.724,0.250,0.000,0.000,0.000,0.000,3.300,1,0,0,0,0,0,
	0.274,75.000,0.900,-74.724,0.350,0.000,0.000,0.000,0.000,3.300,1,0,0,0,0,0,
	0.278,75.000,0.900,-74.650,0.450,0.000,0.000,0.000,0.000,3.700,1,0,0,0,0,0,
	0.282,75.000,0.900,-74.650,0.650,0.000,0.000,0.000,0.000,3.700,1,0,0,0,0,0,
	0.285,75.000,0.900,-74.650,0.700,-0.050,0.000,0.000,0.000,3.700,1,0,0,0,0,0,
	0.292,75.000,0.900,-74.650,0.950,-0.100,0.000,0.000,0.000,3.700,1,0,0,0,0,0,
	0.297,75.000,0.900,-74.650,1.100,-0.100,0.000,0.000,0.000,3.700,1,0,0,0,0,0,
	0.301,75.000,0.900,-74.568,1.250,-0.150,0.000,-0.002,0.000,4.100,1,0,0,0,0,0,
	0.306,75.000,0.900,-74.568,1.500,-0.200,0.000,-0.002,0.000,4.100,1,0,0,0,0,0,
	0.311,75.000,0.900,-74.568,1.700,-0.200,0.000,-0.002,0.000,4.100,1,0,0,0,0,0,
	0.315,75.000,0.900,-74.568,1.900,-0.250,0.000,-0.002,0.000,4.100,1,0,0,0,0,0,
	0.319,75.000,0.900,-74.478,2.050,-0.250,0.000,-0.007,0.000,4.500,1,0,0,0,0,0,
	0.324,75.000,0.900,-74.478,2.250,-0.300,0.000,-0.007,0.000,4.500,1,0,0,0,0,0,
	0.329,75.000,0.900,-74.478,2.550,-0.350,0.000,-0.007,0.000,4.500,1,0,0,0,0,0,
	0.334,75.000,0.900,-74.478,2.750,-0.350,0.000,-0.007,0.000,4.500,1,0,0,0,0,0,
	0.338,75.000,0.900,-74.380,2.900,-0.400,0.000,-0.014,0.000,4.900,1,0,0,0,0,0,
	0.344,75.000,0.900,-74.380,3.250,-0.400,0.000,-0.014,0.000,4.900,1,0,0,0,0,0,
	0.348,75.000,0.900,-74.380,3.450,-0.450,0.000,-0.014,0.000,4.900,1,0,0,0,0,0,
	0.352,75.000,0.900,-74.380,3.700,-0.450,0.000,-0.014,0.000,4.900,1,0,0,0,0,0,
	0.358,74.999,0.900,-74.274,3.950,-0.450,0.000,-0.022,0.000,5.300,1,0,0,0,0,0,
	0.363,74.999,0.900,-74.274,4.250,-0.450,0.000,-0.022,0.000,5.300,1,0,0,0,0,0,
	0.367,74.999,0.900,-74.274,4.450,-0.450,0.000,-0.022,0.000,5.300,1,0,0,0,0,0,
	0.372,74.999,0.900,-74.274,4.700,-0.450,0.000,-0.022,0.000,5.300,1,0,0,0,0,0,
	0.377,74.999,0.900,-74.274,4.900,-0.450,0.000,-0.022,0.000,5.300,1,0,0,0,0,0,
	0.381,74.999,0.900,-74.160,5.100,-0.450,0.000,-0.028,0.000,5.700,1,0,0,0,0,0,
	0.385,74.999,0.900,-74.160,5.350,-0.450,0.000,-0.028,0.000,5.700,1,0,0,0,0,0,
	0.389,74.999,0.900,-74.160,5.450,-0.450,0.000,-0.028,0.000,5.700,1,0,0,0,0,0,
	0.392,74.999,0.900,-74.160,5.600,-0.450,0.000,-0.028,0.000,5.700,1,0,0,0,0,0,
	0.396,74.999,0.900,-74.160,5.800,-0.450,0.000,-0.028,0.000,5.700,1,0,0,0,0,0,
	0.400,74.998,0.900,-74.038,6.000,-0.450,0.000,-0.034,0.000,6.100,1,0,0,0,0,0,
	0.404,74.998,0.900,-74.038,6.250,-0.500,0.000,-0.034,0.000,6.100,1,0,0,0,0,0,
	0.409,74.998,0.900,-74.038,6.450,-0.500,0.000,-0.034,0.000,6.100,1,0,0,0,0,0,
	0.412,74.998,0.900,-74.038,6.600,-0.500,0.000,-0.034,0.000,6.100,1,0,0,0,0,0,
	0.418,74.997,0.900,-73.908,6.900,-0.500,0.000,-0.040,0.000,6.500,1,0,0,0,0,0,
	0.423,74.997,0.900,-73.908,7.150,-0.500,0.000,-0.040,0.000,6.500,1,0,0,0,0,0,
	0.427,74.997,0.900,-73.908,7.300,-0.500,0.000,-0.040,0.000,6.500,1,0,0,0,0,0,
	0.433,74.997,0.900,-73.908,7.600,-0.550,0.000,-0.040,0.000,6.500,1,0,0,0,0,0,
	0.437,74.997,0.900,-73.908,7.850,-0.550,0.000,-0.040,0.000,6.500,1,0,0,0,0,0,
	0.441,74.996,0.900,-73.770,8.000,-0.550,0.000,-0.047,0.000,6.900,1,0,0,0,0,0,
	0.448,74.996,0.900,-73.770,8.300,-0.550,0.000,-0.047,0.000,6.900,1,0,0,0,0,0,
	0.453,74.996,0.900,-73.770,8.600,-0.550,0.000,-0.047,0.000,6.900,1,0,0,0,0,0,
	0.457,74.996,0.900,-73.770,8.850,-0.600,0.000,-0.047,0.000,6.900,1,0,0,0,0,0,
	0.461,74.995,0.900,-73.624,9.000,-0.600,0.000,-0.055,0.000,7.300,1,0,0,0,0,0,
	0.465,74.995,0.900,-73.624,9.250,-0.600,0.000,-0.055,0.000,7.300,1,0,0,0,0,0,
	0.470,74.995,0.900,-73.624,9.450,-0.600,0.000,-0.055,0.000,7.300,1,0,0,0,0,0,
	0.475,74.995,0.900,-73.624,9.800,-0.600,0.000,-0.055,0.000,7.300,1,0,0,0,0,0,
	0.479,74.994,0.900,-73.470,10.000,-0.650,0.000,-0.061,0.000,7.700,1,0,0,0,0,0,
	0.485,74.994,0.900,-73.470,10.250,-0.650,0.000,-0.061,0.000,7.700,1,0,0,0,0,0,
	0.489,74.994,0.900,-73.470,10.550,-0.650,0.000,-0.061,0.000,7.700,1,0,0,0,0,0,
	0.492,74.994,0.900,-73.470,10.750,-0.700,0.000,-0.061,0.000,7.700,1,0,0,0,0,0,
	0.497,74.994,0.900,-73.470,10.900,-0.700,0.000,-0.061,0.000,7.700,1,0,0,0,0,0,
	0.502,74.992,0.900,-73.316,11.150,-0.750,0.000,-0.065,0.000,7.700,1,0,0,0,0,0,
	0.508,74.992,0.900,-73.316,11.500,-0.800,0.000,-0.065,0.000,7.700,1,0,0,0,0,0,
	0.512,74.992,0.900,-73.316,11.750,-0.850,0.000,-0.065,0.000,7.700,1,0,0,0,0,0,
	0.517,74.992,0.900,-73.316,11.950,-0.850,0.000,-0.065,0.000,7.700,1,0,0,0,0,0,
	0.520,74.991,0.900,-73.162,12.200,-0.900,0.000,-0.071,0.000,7.700,1,0,0,0,0,0,
	0.525,74.991,0.900,-73.162,12.450,-0.950,0.000,-0.071,0.000,7.700,1,0,0,0,0,0,
	0.530,74.991,0.900,-73.162,12.700,-1.000,0.000,-0.071,0.000,7.700,1,0,0,0,0,0,
	0.534,74.991,0.900,-73.162,12.900,-1.050,0.000,-0.071,0.000,7.700,1,0,0,0,0,0,
	0.538,74.989,0.900,-73.008,13.150,-1.100,0.000,-0.079,0.000,7.700,1,0,0,0,0,0,
