map
	ez_tower
end

value
	30.003,-88.257,-28.217,6.744,13.550,-391.550,0.000,-21.917,1.690,33.498,0,0,1,0,0,1,
	30.007,-88.652,-28.190,7.441,13.550,-390.700,0.000,-19.744,1.370,34.832,0,0,1,0,0,1,
	30.012,-88.652,-28.190,7.441,13.550,-389.650,0.000,-19.744,1.370,34.832,0,0,1,0,0,1,
	30.018,-88.652,-28.190,7.441,13.600,-388.100,0.000,-19.744,1.370,34.832,0,0,1,0,0,1,
	30.022,-88.652,-28.190,7.441,13.600,-387.450,0.000,-19.744,1.370,34.832,0,0,1,0,0,1,
	30.026,-88.652,-28.190,7.441,13.650,-386.300,0.000,-19.744,1.370,34.832,0,0,1,0,0,1,
	30.032,-88.981,-28.169,8.170,13.700,-384.450,0.000,-16.456,1.050,36.457,0,0,1,0,0,1,
	30.038,-88.981,-28.169,8.170,13.700,-383.300,0.000,-16.456,1.050,36.457,0,0,1,0,0,1,
	30.042,-88.981,-28.169,8.170,13.700,-382.350,0.000,-16.456,1.050,36.457,0,0,1,0,0,1,
	30.047,-89.259,-28.154,8.920,13.750,-381.200,0.000,-13.906,0.730,37.505,0,0,1,0,0,1,
	30.053,-89.259,-28.154,8.920,13.750,-379.750,0.000,-13.906,0.730,37.505,0,0,1,0,0,1,
	30.057,-89.259,-28.154,8.920,13.750,-378.600,0.000,-13.906,0.730,37.505,0,0,1,0,0,1,
	30.062,-89.259,-28.154,8.920,13.750,-377.450,0.000,-13.906,0.730,37.505,0,0,1,0,0,1,
	30.066,-89.259,-28.154,8.920,13.750,-376.500,0.000,-13.906,0.730,37.505,0,0,1,0,0,1,
	30.070,-89.459,-28.146,9.693,13.800,-375.350,0.000,-9.993,0.410,38.664,0,0,1,0,0,1,
	30.074,-89.459,-28.146,9.693,13.800,-374.450,0.000,-9.993,0.410,38.664,0,0,1,0,0,1,
	30.077,-89.459,-28.146,9.693,13.800,-373.800,0.000,-9.993,0.410,38.664,0,0,1,0,0,1,
	30.082,-89.459,-28.146,9.693,13.800,-372.650,0.000,-9.993,0.410,38.664,0,0,1,0,0,1,
	30.086,-89.459,-28.146,9.693,13.800,-371.600,0.000,-9.993,0.410,38.664,0,0,1,0,0,1,
	30.090,-89.592,-28.144,10.480,13.800,-370.700,0.000,-6.648,0.090,39.351,0,0,1,0,0,1,
	30.095,-89.592,-28.144,10.480,13.800,-369.650,0.000,-6.648,0.090,39.351,0,0,1,0,0,1,
	30.100,-89.592,-28.144,10.480,13.800,-368.600,0.000,-6.648,0.090,39.351,0,0,1,0,0,1,
	30.104,-89.592,-28.144,10.480,13.800,-367.550,0.000,-6.648,0.090,39.351,0,0,1,0,0,1,
	30.109,-89.518,-28.149,11.275,13.800,-366.500,0.000,0.000,-0.230,39.721,0,0,1,0,0,1,
	30.115,-89.518,-28.149,11.275,13.800,-365.300,0.000,0.000,-0.230,39.721,0,0,1,0,0,1,
	30.119,-89.518,-28.149,11.275,13.750,-364.300,0.000,0.000,-0.230,39.721,0,0,1,0,0,1,
	30.125,-89.518,-28.149,11.275,13.750,-363.100,0.000,0.000,-0.230,39.721,0,0,1,0,0,1,
	30.129,-89.504,-28.160,12.069,13.750,-362.300,0.000,0.000,-0.550,39.721,0,0,1,0,0,1,
	30.133,-89.504,-28.160,12.069,13.700,-361.550,0.000,0.000,-0.550,39.721,0,0,1,0,0,1,
	30.137,-89.504,-28.160,12.069,13.700,-360.800,0.000,0.000,-0.550,39.721,0,0,1,0,0,1,
	30.141,-89.504,-28.160,12.069,13.700,-359.850,0.000,0.000,-0.550,39.721,0,0,1,0,0,1,
	30.146,-89.504,-28.160,12.069,13.700,-358.950,0.000,0.000,-0.550,39.721,0,0,1,0,0,1,
	30.150,-89.461,-28.177,12.863,13.700,-358.250,0.000,2.128,-0.870,39.682,0,0,1,0,0,1,
	30.155,-89.461,-28.177,12.863,13.700,-357.350,0.000,2.128,-0.870,39.682,0,0,1,0,0,1,
	30.159,-89.461,-28.177,12.863,13.700,-356.450,0.000,2.128,-0.870,39.682,0,0,1,0,0,1,
	30.162,-89.461,-28.177,12.863,13.700,-355.750,0.000,2.128,-0.870,39.682,0,0,1,0,0,1,
	30.166,-89.461,-28.177,12.863,13.700,-355.250,0.000,2.128,-0.870,39.682,0,0,1,0,0,1,
	30.170,-89.367,-28.201,13.652,13.700,-354.600,0.000,4.685,-1.190,39.470,0,0,1,0,0,1,
	30.174,-89.367,-28.201,13.652,13.700,-353.900,0.000,4.685,-1.190,39.470,0,0,1,0,0,1,
	30.178,-89.367,-28.201,13.652,13.700,-353.100,0.000,4.685,-1.190,39.470,0,0,1,0,0,1,
	30.182,-89.367,-28.201,13.652,13.700,-352.450,0.000,4.685,-1.190,39.470,0,0,1,0,0,1,
	30.186,-89.367,-28.201,13.652,13.700,-351.850,0.000,4.685,-1.190,39.470,0,0,1,0,0,1,
	30.192,-89.227,-28.231,14.435,13.700,-351.050,0.000,7.019,-1.510,39.136,0,0,1,0,0,1,
	30.197,-89.227,-28.231,14.435,13.700,-349.950,0.000,7.019,-1.510,39.136,0,0,1,0,0,1,
	30.201,-89.227,-28.231,14.435,13.700,-349.350,0.000,7.019,-1.510,39.136,0,0,1,0,0,1,
	30.205,-89.227,-28.231,14.435,13.700,-348.700,0.000,7.019,-1.510,39.136,0,0,1,0,0,1,
	30.209,-89.044,-28.268,15.209,13.700,-348.050,0.000,9.162,-1.830,38.707,0,0,1,0,0,1,
	30.212,-89.044,-28.268,15.209,13.700,-347.400,0.000,9.162,-1.830,38.707,0,0,1,0,0,1,
	30.216,-89.044,-28.268,15.209,13.700,-346.800,0.000,9.162,-1.830,38.707,0,0,1,0,0,1,
	30.220,-89.044,-28.268,15.209,13.700,-346.150,0.000,9.162,-1.830,38.707,0,0,1,0,0,1,
	30.224,-89.044,-28.268,15.209,13.700,-345.500,0.000,9.162,-1.830,38.707,0,0,1,0,0,1,
	30.227,-88.818,-28.311,15.972,13.700,-345.050,0.000,11.313,-2.150,38.151,0,0,1,0,0,1,
	30.235,-88.818,-28.311,15.972,13.750,-343.650,0.000,11.313,-2.150,38.151,0,0,1,0,0,1,
	30.239,-88.818,-28.311,15.972,13.750,-343.000,0.000,11.313,-2.150,38.151,0,0,1,0,0,1,
	30.243,-88.818,-28.311,15.972,13.750,-342.400,0.000,11.313,-2.150,38.151,0,0,1,0,0,1,
	30.248,-88.550,-28.360,16.722,13.750,-341.450,0.000,13.365,-2.470,37.500,0,0,1,0,0,1,
	30.254,-88.550,-28.360,16.722,13.750,-340.500,0.000,13.365,-2.470,37.500,0,0,1,0,0,1,
