map
	ez_tower
end

value
	54.000,-6.920,-66.163,-80.264,21.700,-611.801,0.000,33.369,1.050,-10.264,0,0,1,0,0,1,
	54.005,-6.265,-66.148,-80.509,21.700,-611.201,0.000,32.722,0.730,-12.232,0,0,1,0,0,1,
	54.010,-6.265,-66.148,-80.509,21.700,-610.501,0.000,32.722,0.730,-12.232,0,0,1,0,0,1,
	54.016,-6.265,-66.148,-80.509,21.750,-609.951,0.000,32.722,0.730,-12.232,0,0,1,0,0,1,
	54.020,-6.265,-66.148,-80.509,21.750,-609.701,0.000,32.722,0.730,-12.232,0,0,1,0,0,1,
	54.024,-6.265,-66.148,-80.509,21.800,-609.401,0.000,32.722,0.730,-12.232,0,0,1,0,0,1,
	54.029,-5.621,-66.140,-80.781,21.800,-609.201,0.000,32.207,0.410,-13.601,0,0,1,0,0,1,
	54.036,-5.621,-66.140,-80.781,21.850,-609.101,0.000,32.207,0.410,-13.601,0,0,0,0,0,1,
	54.044,-5.621,-66.140,-80.781,21.900,-609.051,0.000,32.207,0.410,-13.601,0,0,0,1,0,1,
	54.052,-4.958,-66.138,-81.005,22.000,-609.101,0.000,33.132,0.090,-11.185,0,0,0,1,0,1,
	54.057,-4.958,-66.138,-81.005,22.050,-609.151,0.000,33.132,0.090,-11.185,0,0,0,1,0,1,
	54.062,-4.958,-66.138,-81.005,22.150,-609.301,0.000,33.132,0.090,-11.185,0,0,0,1,0,1,
	54.066,-4.295,-66.143,-81.226,22.200,-609.451,0.000,33.186,-0.230,-11.043,0,0,0,1,0,1,
	54.072,-4.295,-66.143,-81.226,22.250,-609.601,0.000,33.186,-0.230,-11.043,0,0,0,1,0,1,
	54.076,-4.295,-66.143,-81.226,22.350,-609.801,0.000,33.186,-0.230,-11.043,0,0,0,1,0,1,
	54.080,-4.295,-66.143,-81.226,22.400,-610.051,0.000,33.186,-0.230,-11.043,0,0,0,1,0,1,
	54.084,-4.295,-66.143,-81.226,22.450,-610.301,0.000,33.186,-0.230,-11.043,0,0,0,1,0,1,
	54.089,-3.627,-66.154,-81.435,22.550,-610.601,0.000,33.392,-0.550,-10.468,0,0,0,1,0,1,
	54.094,-3.627,-66.154,-81.435,22.650,-611.051,0.000,33.392,-0.550,-10.468,0,0,0,1,0,1,
	54.098,-3.627,-66.154,-81.435,22.700,-611.251,0.000,33.392,-0.550,-10.468,0,0,0,1,0,1,
	54.103,-3.627,-66.154,-81.435,22.800,-611.751,0.000,33.392,-0.550,-10.468,0,0,0,1,0,1,
	54.108,-2.953,-66.171,-81.628,22.850,-612.201,0.000,33.669,-0.870,-9.627,0,0,0,1,0,1,
	54.114,-2.953,-66.171,-81.628,22.950,-612.751,0.000,33.669,-0.870,-9.627,0,0,0,1,0,1,
	54.118,-2.953,-66.171,-81.628,23.000,-613.251,0.000,33.669,-0.870,-9.627,0,0,0,1,0,1,
	54.122,-2.953,-66.171,-81.628,23.050,-613.651,0.000,33.669,-0.870,-9.627,0,0,0,1,0,1,
	54.126,-2.273,-66.195,-81.798,23.100,-614.101,0.000,33.996,-1.190,-8.513,0,0,0,1,0,1,
	54.131,-2.273,-66.195,-81.798,23.150,-614.801,0.000,33.996,-1.190,-8.513,0,0,0,1,0,1,
	54.135,-2.273,-66.195,-81.798,23.200,-615.301,0.000,33.996,-1.190,-8.513,0,0,0,1,0,1,
	54.139,-2.273,-66.195,-81.798,23.250,-615.801,0.000,33.996,-1.190,-8.513,0,0,0,1,0,1,
	54.145,-1.587,-66.225,-81.943,23.300,-616.601,0.000,34.318,-1.510,-7.239,0,0,0,1,0,1,
	54.149,-1.587,-66.225,-81.943,23.350,-617.251,0.000,34.318,-1.510,-7.239,0,0,0,1,0,1,
	54.154,-1.587,-66.225,-81.943,23.400,-617.901,0.000,34.318,-1.510,-7.239,0,0,0,1,0,1,
	54.159,-1.587,-66.225,-81.943,23.400,-618.551,0.000,34.318,-1.510,-7.239,0,0,0,1,0,1,
	54.163,-1.587,-66.225,-81.943,23.450,-619.101,0.000,34.318,-1.510,-7.239,0,0,0,1,0,1,
	54.167,-0.893,-66.262,-82.048,23.450,-619.751,0.000,34.700,-1.830,-5.256,0,0,0,1,0,1,
	54.171,-0.893,-66.262,-82.048,23.500,-620.201,0.000,34.700,-1.830,-5.256,0,0,0,1,0,1,
	54.175,-0.893,-66.262,-82.048,23.500,-620.701,0.000,34.700,-1.830,-5.256,0,0,0,1,0,1,
	54.179,-0.893,-66.262,-82.048,23.500,-621.201,0.000,34.700,-1.830,-5.256,0,0,0,1,0,1,
	54.183,-0.893,-66.262,-82.048,23.550,-621.851,0.000,34.700,-1.830,-5.256,0,0,0,1,0,1,
	54.188,-0.194,-66.305,-82.120,23.550,-622.251,0.000,34.939,-2.150,-3.589,0,0,0,1,0,1,
	54.193,-0.194,-66.305,-82.120,23.550,-622.951,0.000,34.939,-2.150,-3.589,0,0,0,1,0,1,
	54.196,-0.194,-66.305,-82.120,23.600,-623.251,0.000,34.939,-2.150,-3.589,0,0,0,1,0,1,
	54.201,-0.194,-66.305,-82.120,23.600,-623.951,0.000,34.939,-2.150,-3.589,0,0,0,1,0,1,
	54.205,0.507,-66.354,-82.166,23.600,-624.351,0.000,35.074,-2.470,-2.309,0,0,0,1,0,1,
	54.211,0.507,-66.354,-82.166,23.600,-625.052,0.000,35.074,-2.470,-2.309,0,0,0,1,0,1,
	54.215,0.507,-66.354,-82.166,23.600,-625.401,0.000,35.074,-2.470,-2.309,0,0,0,1,0,1,
	54.220,0.507,-66.354,-82.166,23.650,-626.302,0.000,35.074,-2.470,-2.309,0,0,0,1,0,1,
	54.225,1.211,-66.410,-82.183,23.650,-626.802,0.000,35.167,-2.790,-0.870,0,0,0,1,0,1,
	54.229,1.211,-66.410,-82.183,23.650,-627.252,0.000,35.167,-2.790,-0.870,0,0,0,1,0,1,
	54.233,1.211,-66.410,-82.183,23.650,-627.752,0.000,35.167,-2.790,-0.870,0,0,0,1,0,1,
	54.240,1.211,-66.410,-82.183,23.650,-628.802,0.000,35.167,-2.790,-0.870,0,0,0,1,0,1,
	54.244,1.211,-66.410,-82.183,23.650,-629.302,0.000,35.167,-2.790,-0.870,0,0,0,1,0,1,
	54.249,1.914,-66.472,-82.164,23.650,-630.002,0.000,35.190,-3.110,0.971,0,0,0,1,0,1,
	54.254,1.914,-66.472,-82.164,23.650,-630.802,0.000,35.190,-3.110,0.971,0,0,0,1,0,1,
	54.258,1.914,-66.472,-82.164,23.650,-631.401,0.000,35.190,-3.110,0.971,0,0,0,1,0,1,
	54.261,1.914,-66.472,-82.164,23.650,-631.951,0.000,35.190,-3.110,0.971,0,0,0,1,0,1,
