map
	ez_tower
end

value
	36.000,72.883,-28.148,45.832,17.150,-177.700,0.000,-2.981,0.730,-40.216,0,0,1,0,0,1,
	36.005,72.883,-28.148,45.832,17.150,-177.700,0.000,-2.981,0.730,-40.216,0,0,1,0,0,1,
	36.009,72.823,-28.140,45.028,17.150,-177.700,0.000,-3.016,0.410,-40.214,0,0,1,0,0,1,
	36.012,72.823,-28.140,45.028,17.150,-177.700,0.000,-3.016,0.410,-40.214,0,0,1,0,0,1,
	36.016,72.823,-28.140,45.028,17.150,-177.700,0.000,-3.016,0.410,-40.214,0,0,1,0,0,1,
	36.019,72.823,-28.140,45.028,17.150,-177.700,0.000,-3.016,0.410,-40.214,0,0,1,0,0,1,
	36.023,72.823,-28.140,45.028,17.150,-177.700,0.000,-3.016,0.410,-40.214,0,0,1,0,0,1,
	36.026,72.823,-28.140,45.028,17.150,-177.700,0.000,-3.016,0.410,-40.214,0,0,1,0,0,1,
	36.029,72.762,-28.138,44.224,17.150,-177.700,0.000,-3.016,0.090,-40.214,0,0,1,0,0,1,
	36.032,72.762,-28.138,44.224,17.150,-177.700,0.000,-3.016,0.090,-40.214,0,0,1,0,0,1,
	36.037,72.762,-28.138,44.224,17.200,-177.750,0.000,-3.016,0.090,-40.214,0,0,1,0,0,1,
	36.041,72.762,-28.138,44.224,17.200,-177.800,0.000,-3.016,0.090,-40.214,0,0,1,0,0,1,
	36.048,72.702,-28.143,43.419,17.250,-177.900,0.000,-3.016,-0.230,-40.214,0,0,1,0,0,1,
	36.052,72.702,-28.143,43.419,17.250,-178.000,0.000,-3.016,-0.230,-40.214,0,0,1,0,0,1,
	36.059,72.702,-28.143,43.419,17.300,-178.200,0.000,-3.016,-0.230,-40.214,0,0,1,0,0,1,
	36.065,72.702,-28.143,43.419,17.350,-178.400,0.000,-3.016,-0.230,-40.214,0,0,1,0,0,1,
	36.073,72.642,-28.154,42.615,17.400,-178.800,0.000,-3.016,-0.550,-40.214,0,0,0,1,0,1,
	36.084,72.642,-28.154,42.615,17.450,-179.450,0.000,-3.016,-0.550,-40.214,0,0,0,1,0,1,
	36.091,72.662,-28.171,41.810,17.500,-180.100,0.000,1.014,-0.870,-40.253,0,0,0,1,0,1,
	36.095,72.662,-28.171,41.810,17.550,-180.450,0.000,1.014,-0.870,-40.253,0,0,0,1,0,1,
	36.100,72.662,-28.171,41.810,17.600,-181.100,0.000,1.014,-0.870,-40.253,0,0,0,1,0,1,
	36.104,72.662,-28.171,41.810,17.650,-181.600,0.000,1.014,-0.870,-40.253,0,0,0,1,0,1,
	36.110,72.712,-28.195,41.006,17.700,-182.350,0.000,2.524,-1.190,-40.211,0,0,0,1,0,1,
	36.114,72.712,-28.195,41.006,17.700,-182.950,0.000,2.524,-1.190,-40.211,0,0,0,1,0,1,
	36.121,72.712,-28.195,41.006,17.750,-184.100,0.000,2.524,-1.190,-40.211,0,0,0,1,0,1,
	36.125,72.712,-28.195,41.006,17.800,-184.700,0.000,2.524,-1.190,-40.211,0,0,0,1,0,1,
	36.129,72.806,-28.225,40.205,17.800,-185.350,0.000,4.696,-1.510,-40.032,0,0,0,1,0,1,
	36.135,72.806,-28.225,40.205,17.900,-186.450,0.000,4.696,-1.510,-40.032,0,0,0,1,0,1,
	36.141,72.806,-28.225,40.205,17.950,-187.450,0.000,4.696,-1.510,-40.032,0,0,0,1,0,1,
	36.145,72.806,-28.225,40.205,17.950,-188.100,0.000,4.696,-1.510,-40.032,0,0,0,1,0,1,
	36.149,72.948,-28.262,39.411,18.000,-188.800,0.000,7.064,-1.830,-39.695,0,0,0,1,0,1,
	36.153,72.948,-28.262,39.411,18.050,-189.650,0.000,7.064,-1.830,-39.695,0,0,0,1,0,1,
	36.162,72.948,-28.262,39.411,18.150,-191.100,0.000,7.064,-1.830,-39.695,0,0,0,1,0,1,
	36.167,73.130,-28.305,38.626,18.250,-192.250,0.000,9.135,-2.150,-39.289,0,0,0,1,0,1,
	36.176,73.130,-28.305,38.626,18.350,-194.300,0.000,9.135,-2.150,-39.289,0,0,0,1,0,1,
	36.182,73.130,-28.305,38.626,18.400,-195.600,0.000,9.135,-2.150,-39.289,0,0,0,1,0,1,
	36.188,73.374,-28.354,37.857,18.400,-196.950,0.000,12.185,-2.470,-38.437,0,0,0,1,0,1,
	36.194,73.374,-28.354,37.857,18.450,-198.550,0.000,12.185,-2.470,-38.437,0,0,0,1,0,1,
	36.201,73.374,-28.354,37.857,18.450,-200.250,0.000,12.185,-2.470,-38.437,0,0,0,1,0,1,
	36.207,73.374,-28.354,37.857,18.450,-201.450,0.000,12.185,-2.470,-38.437,0,0,0,1,0,1,
	36.212,73.694,-28.410,37.118,18.450,-202.950,0.000,16.015,-2.790,-36.932,0,0,0,1,0,1,
	36.217,73.694,-28.410,37.118,18.450,-204.450,0.000,16.015,-2.790,-36.932,0,0,0,1,0,1,
	36.223,73.694,-28.410,37.118,18.450,-206.000,0.000,16.015,-2.790,-36.932,0,0,0,1,0,1,
	36.232,74.072,-28.472,36.408,18.400,-207.500,0.000,18.887,-3.110,-35.531,0,0,0,1,0,1,
	36.244,74.072,-28.472,36.408,18.300,-211.600,0.000,18.887,-3.110,-35.531,0,0,0,1,0,1,
	36.255,74.517,-28.541,35.738,18.250,-213.800,0.000,22.236,-3.430,-33.472,0,0,0,1,0,1,
	36.261,74.517,-28.541,35.738,18.200,-215.400,0.000,22.236,-3.430,-33.472,0,0,0,1,0,1,
	36.267,75.005,-28.616,35.100,18.150,-216.500,0.000,24.408,-3.750,-31.928,0,0,0,1,0,1,
	36.273,75.005,-28.616,35.100,18.150,-217.550,0.000,24.408,-3.750,-31.928,0,0,0,1,0,1,
	36.278,75.005,-28.616,35.100,18.100,-218.400,0.000,24.408,-3.750,-31.928,0,0,0,1,0,1,
	36.283,75.005,-28.616,35.100,18.050,-219.300,0.000,24.408,-3.750,-31.928,0,0,0,1,0,1,
	36.289,75.535,-28.697,34.496,18.050,-220.000,0.000,26.524,-4.070,-30.196,0,0,0,1,0,1,
	36.295,75.535,-28.697,34.496,18.000,-220.900,0.000,26.524,-4.070,-30.196,0,0,0,1,0,1,
	36.301,75.535,-28.697,34.496,17.950,-221.600,0.000,26.524,-4.070,-30.196,0,0,0,1,0,1,
	36.307,76.090,-28.785,33.913,17.900,-222.100,0.000,27.730,-4.390,-29.125,0,0,0,1,0,1,
	36.312,76.090,-28.785,33.913,17.850,-222.600,0.000,27.730,-4.390,-29.125,0,0,0,1,0,1,
	36.317,76.090,-28.785,33.913,17.750,-223.000,0.000,27.730,-4.390,-29.125,0,0,0,1,0,1,
