map
	ez_tower
end

value
	12.002,26.458,1.746,73.782,27.450,-90.050,0.000,-26.766,-2.150,-1.073,0,0,0,1,0,1,
	12.006,26.458,1.746,73.782,27.400,-90.500,0.000,-26.766,-2.150,-1.073,0,0,0,1,0,1,
	12.011,26.458,1.746,73.782,27.350,-91.050,0.000,-26.766,-2.150,-1.073,0,0,0,1,0,1,
	12.015,26.458,1.746,73.782,27.300,-91.500,0.000,-26.766,-2.150,-1.073,0,0,0,1,0,1,
	12.019,26.458,1.746,73.782,27.250,-92.050,0.000,-26.766,-2.150,-1.073,0,0,0,1,0,1,
	12.023,25.923,1.696,73.735,27.250,-92.500,0.000,-26.720,-2.470,-2.357,0,0,0,1,0,1,
	12.030,25.923,1.696,73.735,27.200,-93.100,0.000,-26.720,-2.470,-2.357,0,0,0,1,0,1,
	12.035,25.923,1.696,73.735,27.150,-93.600,0.000,-26.720,-2.470,-2.357,0,0,0,1,0,1,
	12.039,25.923,1.696,73.735,27.100,-94.150,0.000,-26.720,-2.470,-2.357,0,0,0,1,0,1,
	12.045,25.390,1.640,73.668,27.050,-94.550,0.000,-26.649,-2.790,-3.337,0,0,0,1,0,1,
	12.050,25.390,1.640,73.668,27.000,-95.000,0.000,-26.649,-2.790,-3.337,0,0,0,1,0,1,
	12.054,25.390,1.640,73.668,26.950,-95.450,0.000,-26.649,-2.790,-3.337,0,0,0,1,0,1,
	12.058,25.390,1.640,73.668,26.900,-95.750,0.000,-26.649,-2.790,-3.337,0,0,0,1,0,1,
	12.065,24.859,1.578,73.587,26.850,-96.400,0.000,-26.574,-3.110,-4.083,0,0,0,1,0,1,
	12.070,24.859,1.578,73.587,26.750,-96.800,0.000,-26.574,-3.110,-4.083,0,0,0,1,0,1,
	12.074,24.859,1.578,73.587,26.700,-97.250,0.000,-26.574,-3.110,-4.083,0,0,0,1,0,1,
	12.079,24.859,1.578,73.587,26.650,-97.750,0.000,-26.574,-3.110,-4.083,0,0,0,1,0,1,
	12.083,24.330,1.510,73.486,26.600,-98.100,0.000,-26.448,-3.430,-5.012,0,0,0,1,0,1,
	12.090,24.330,1.510,73.486,26.450,-98.850,0.000,-26.448,-3.430,-5.012,0,0,0,1,0,1,
	12.094,24.330,1.510,73.486,26.450,-99.100,0.000,-26.448,-3.430,-5.012,0,0,0,1,0,1,
	12.098,24.330,1.510,73.486,26.400,-99.400,0.000,-26.448,-3.430,-5.012,0,0,0,1,0,1,
	12.101,23.803,1.435,73.371,26.350,-99.800,0.000,-26.321,-3.750,-5.777,0,0,0,1,0,1,
	12.106,23.803,1.435,73.371,26.250,-100.250,0.000,-26.321,-3.750,-5.777,0,0,0,1,0,1,
	12.110,23.803,1.435,73.371,26.200,-100.750,0.000,-26.321,-3.750,-5.777,0,0,0,1,0,1,
	12.114,23.803,1.435,73.371,26.150,-101.100,0.000,-26.321,-3.750,-5.777,0,0,0,1,0,1,
	12.118,23.803,1.435,73.371,26.100,-101.400,0.000,-26.321,-3.750,-5.777,0,0,0,1,0,1,
	12.121,23.281,1.353,73.237,26.000,-101.750,0.000,-26.135,-4.070,-6.698,0,0,0,1,0,1,
	12.128,23.281,1.353,73.237,25.900,-102.400,0.000,-26.135,-4.070,-6.698,0,0,0,1,0,1,
	12.132,23.281,1.353,73.237,25.850,-102.850,0.000,-26.135,-4.070,-6.698,0,0,0,1,0,1,
	12.138,23.281,1.353,73.237,25.750,-103.250,0.000,-26.135,-4.070,-6.698,0,0,0,1,0,1,
	12.141,23.281,1.353,73.237,25.700,-103.600,0.000,-26.135,-4.070,-6.698,0,0,0,1,0,1,
	12.146,22.763,1.265,73.083,25.600,-103.950,0.000,-25.892,-4.390,-7.704,0,0,0,1,0,1,
	12.150,22.763,1.265,73.083,25.550,-104.150,0.000,-25.892,-4.390,-7.704,0,0,0,1,0,1,
	12.157,22.763,1.265,73.083,25.500,-104.600,0.000,-25.892,-4.390,-7.704,0,0,0,1,0,1,
	12.161,22.763,1.265,73.083,25.400,-104.800,0.000,-25.892,-4.390,-7.704,0,0,0,1,0,1,
	12.165,22.248,1.171,72.918,25.350,-105.050,0.000,-25.748,-4.710,-8.251,0,0,0,1,0,1,
	12.170,22.248,1.171,72.918,25.300,-105.300,0.000,-25.748,-4.710,-8.251,0,0,0,1,0,1,
	12.174,22.248,1.171,72.918,25.250,-105.450,0.000,-25.748,-4.710,-8.251,0,0,0,1,0,1,
	12.178,22.248,1.171,72.918,25.200,-105.550,0.000,-25.748,-4.710,-8.251,0,0,0,1,0,1,
	12.183,21.735,1.071,72.746,25.150,-105.650,0.000,-25.653,-5.030,-8.591,0,0,0,1,0,1,
	12.188,21.735,1.071,72.746,25.100,-105.650,0.000,-25.653,-5.030,-8.591,0,0,0,1,0,1,
	12.193,21.735,1.071,72.746,25.100,-105.700,0.000,-25.653,-5.030,-8.591,0,0,0,0,0,1,
	12.201,21.735,1.071,72.746,25.000,-105.700,0.000,-25.653,-5.030,-8.591,0,0,0,0,0,1,
	12.204,21.222,0.964,72.574,25.000,-105.700,0.000,-25.653,-5.350,-8.591,0,0,1,0,0,1,
	12.213,21.222,0.964,72.574,24.850,-105.550,0.000,-25.653,-5.350,-8.591,0,0,1,0,0,1,
	12.219,21.222,0.964,72.574,24.800,-105.400,0.000,-25.653,-5.350,-8.591,0,0,1,0,0,1,
	12.223,20.694,0.850,72.458,24.700,-105.250,0.000,-26.415,5.850,-5.824,0,0,1,0,0,1,
	12.227,20.694,0.850,72.458,24.650,-105.100,0.000,-26.415,5.850,-5.824,0,0,1,0,0,1,
	12.230,20.694,0.850,72.458,24.600,-104.950,0.000,-26.415,5.850,-5.824,0,0,1,0,0,1,
	12.236,20.694,0.850,72.458,24.500,-104.550,0.000,-26.415,5.850,-5.824,0,0,1,0,0,1,
	12.240,20.694,0.850,72.458,24.450,-104.300,0.000,-26.415,5.850,-5.824,0,0,1,0,0,1,
	12.244,20.163,0.961,72.351,24.400,-103.950,0.000,-26.543,5.530,-5.321,0,0,1,0,0,1,
	12.252,20.163,0.961,72.351,24.300,-103.250,0.000,-26.543,5.530,-5.321,0,0,1,0,0,1,
	12.256,20.163,0.961,72.351,24.250,-102.800,0.000,-26.543,5.530,-5.321,0,0,1,0,0,1,
	12.261,19.629,1.065,72.259,24.200,-102.250,0.000,-26.700,5.210,-4.630,0,0,1,0,0,1,
	12.267,19.629,1.065,72.259,24.150,-101.600,0.000,-26.700,5.210,-4.630,0,0,1,0,0,1,
	12.271,19.629,1.065,72.259,24.050,-100.950,0.000,-26.700,5.210,-4.630,0,0,1,0,0,1,
