map
	ez_tower
end

value
	48.277,-84.321,-66.225,31.369,26.950,-581.500,0.000,26.480,-1.510,-30.644,0,0,0,1,0,1,
	48.283,-84.321,-66.225,31.369,26.950,-582.850,0.000,26.480,-1.510,-30.644,0,0,0,1,0,1,
	48.289,-83.750,-66.262,30.795,26.950,-584.300,0.000,28.552,-1.830,-28.722,0,0,0,1,0,1,
	48.295,-83.750,-66.262,30.795,26.900,-585.350,0.000,28.552,-1.830,-28.722,0,0,0,1,0,1,
	48.302,-83.750,-66.262,30.795,26.850,-587.150,0.000,28.552,-1.830,-28.722,0,0,0,1,0,1,
	48.307,-83.138,-66.305,30.265,26.800,-588.550,0.000,30.619,-2.150,-26.494,0,0,0,1,0,1,
	48.313,-83.138,-66.305,30.265,26.800,-589.950,0.000,30.619,-2.150,-26.494,0,0,0,1,0,1,
	48.319,-83.138,-66.305,30.265,26.700,-591.150,0.000,30.619,-2.150,-26.494,0,0,0,1,0,1,
	48.324,-83.138,-66.305,30.265,26.650,-592.850,0.000,30.619,-2.150,-26.494,0,0,0,1,0,1,
	48.332,-82.477,-66.354,29.799,26.550,-594.500,0.000,33.050,-2.470,-23.285,0,0,0,1,0,1,
	48.338,-82.477,-66.354,29.799,26.450,-596.200,0.000,33.050,-2.470,-23.285,0,0,0,1,0,1,
	48.344,-82.477,-66.354,29.799,26.350,-597.600,0.000,33.050,-2.470,-23.285,0,0,0,1,0,1,
	48.350,-81.780,-66.410,29.390,26.300,-599.000,0.000,34.846,-2.790,-20.456,0,0,0,1,0,1,
	48.356,-81.780,-66.410,29.390,26.200,-600.900,0.000,34.846,-2.790,-20.456,0,0,0,1,0,1,
	48.363,-81.780,-66.410,29.390,26.100,-602.600,0.000,34.846,-2.790,-20.456,0,0,0,1,0,1,
	48.368,-81.051,-66.472,29.044,26.050,-603.800,0.000,36.468,-3.110,-17.326,0,0,0,1,0,1,
	48.374,-81.051,-66.472,29.044,26.000,-605.450,0.000,36.468,-3.110,-17.326,0,0,0,1,0,1,
	48.382,-81.051,-66.472,29.044,25.950,-607.050,0.000,36.468,-3.110,-17.326,0,0,0,1,0,1,
	48.388,-80.297,-66.541,28.755,25.900,-608.400,0.000,37.690,-3.430,-14.439,0,0,0,1,0,1,
	48.394,-80.297,-66.541,28.755,25.800,-610.000,0.000,37.690,-3.430,-14.439,0,0,0,1,0,1,
	48.400,-80.297,-66.541,28.755,25.800,-610.900,0.000,37.690,-3.430,-14.439,0,0,0,1,0,1,
	48.406,-79.525,-66.616,28.517,25.800,-611.850,0.000,38.578,-3.750,-11.877,0,0,0,1,0,1,
	48.410,-79.525,-66.616,28.517,25.750,-612.650,0.000,38.578,-3.750,-11.877,0,0,0,1,0,1,
	48.416,-79.525,-66.616,28.517,25.750,-613.250,0.000,38.578,-3.750,-11.877,0,0,0,1,0,1,
	48.421,-79.525,-66.616,28.517,25.750,-613.700,0.000,38.578,-3.750,-11.877,0,0,0,1,0,1,
	48.427,-78.743,-66.697,28.318,25.750,-614.200,0.000,39.131,-4.070,-9.984,0,0,0,1,0,1,
	48.432,-78.743,-66.697,28.318,25.700,-614.450,0.000,39.131,-4.070,-9.984,0,0,0,1,0,1,
	48.435,-78.743,-66.697,28.318,25.700,-614.550,0.000,39.131,-4.070,-9.984,0,0,0,1,0,1,
	48.439,-78.743,-66.697,28.318,25.700,-614.600,0.000,39.131,-4.070,-9.984,0,0,0,1,0,1,
	48.442,-78.743,-66.697,28.318,25.700,-614.600,0.000,39.131,-4.070,-9.984,0,0,0,1,0,1,
	48.445,-78.743,-66.697,28.318,25.700,-614.600,0.000,39.131,-4.070,-9.984,0,0,0,1,0,1,
	48.449,-77.957,-66.785,28.130,25.700,-614.550,0.000,39.300,-4.390,-9.373,0,0,0,1,0,1,
	48.454,-77.957,-66.785,28.130,25.700,-614.450,0.000,39.300,-4.390,-9.373,0,0,0,1,0,1,
