map
	ez_stream
end

value
	0.248,-0.011,0.900,-4.848,10.100,355.550,0.000,-0.189,0.000,2.493,1,0,0,0,0,0,
	0.252,-0.011,0.900,-4.848,10.150,355.550,0.000,-0.189,0.000,2.493,1,0,0,0,0,0,
	0.256,-0.011,0.900,-4.848,10.200,355.500,0.000,-0.189,0.000,2.493,1,0,0,0,0,0,
	0.259,-0.016,0.900,-4.791,10.300,355.500,0.000,-0.223,0.000,2.891,1,0,0,0,0,0,
	0.263,-0.016,0.900,-4.791,10.350,355.450,0.000,-0.223,0.000,2.891,1,0,0,0,0,0,
	0.269,-0.016,0.900,-4.791,10.450,355.450,0.000,-0.223,0.000,2.891,1,0,0,0,0,0,
	0.273,-0.016,0.900,-4.791,10.500,355.400,0.000,-0.223,0.000,2.891,1,0,0,0,0,0,
	0.276,-0.021,0.900,-4.725,10.600,355.400,0.000,-0.258,0.000,3.290,1,0,0,0,0,0,
	0.284,-0.021,0.900,-4.725,10.750,355.350,0.000,-0.258,0.000,3.290,1,0,0,0,0,0,
	0.288,-0.021,0.900,-4.725,10.800,355.350,0.000,-0.258,0.000,3.290,1,0,0,0,0,0,
	0.294,-0.021,0.900,-4.725,10.900,355.300,0.000,-0.258,0.000,3.290,1,0,0,0,0,0,
	0.298,-0.027,0.900,-4.651,11.000,355.300,0.000,-0.294,0.000,3.688,1,0,0,0,0,0,
	0.303,-0.027,0.900,-4.651,11.100,355.250,0.000,-0.294,0.000,3.688,1,0,0,0,0,0,
	0.307,-0.027,0.900,-4.651,11.150,355.250,0.000,-0.294,0.000,3.688,1,0,0,0,0,0,
	0.311,-0.027,0.900,-4.651,11.250,355.200,0.000,-0.294,0.000,3.688,1,0,0,0,0,0,
	0.315,-0.027,0.900,-4.651,11.350,355.200,0.000,-0.294,0.000,3.688,1,0,0,0,0,0,
	0.318,-0.033,0.900,-4.569,11.400,355.150,0.000,-0.331,0.000,4.087,1,0,0,0,0,0,
	0.322,-0.033,0.900,-4.569,11.450,355.150,0.000,-0.331,0.000,4.087,1,0,0,0,0,0,
	0.327,-0.033,0.900,-4.569,11.550,355.100,0.000,-0.331,0.000,4.087,1,0,0,0,0,0,
	0.331,-0.033,0.900,-4.569,11.650,355.100,0.000,-0.331,0.000,4.087,1,0,0,0,0,0,
